PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aberg, Ludvig",71.54,71.324,1.726
"An, Byeong Hun",72.52,72.368,0.682
"Bairstow, Sam",73.09,73.14,-0.09
"Ballester, Jose Luis",74.03,74.03,-0.98
"Barbaree, Philip",75.11,75.11,-2.06
"Bauchou, Zach",73.91,73.91,-0.86
"Beck, Evan",75.38,75.38,-2.33
"Berger, Daniel",71.83,71.828,1.222
"Bezuidenhout, Christiaan",72.65,72.696,0.354
"Bhatia, Akshay",72.14,71.962,1.088
"Blair, Zac",73.64,73.64,-0.59
"Blanchet, Chandler",73.9,73.9,-0.85
"Bland, Richard",72.97,73.09,-0.04
"Bradley, Keegan",71.7,71.674,1.376
"Bridgeman, Jacob",72.62,72.738,0.312
"Buchanan, Jackson",74.66,74.66,-1.61
"Burns, Sam",71.74,71.789,1.261
"Calkins, Brady",75.5,75.5,-2.45
"Campbell, Brian",73.28,73.28,-0.23
"Canter, Laurie",72.96,73.03,0.02
"Cantlay, Patrick",71.5,71.588,1.462
"Cauley, Bud",72.34,72.098,0.952
"Chandler, Will",74.26,74.26,-1.21
"Clark, Wyndham",72.58,72.431,0.619
"Cole, Eric",72.65,72.533,0.517
"Cone, Trevor",73.91,73.91,-0.86
"Conners, Corey",71.49,71.557,1.493
"Davis, Cam",73.09,73.112,-0.062
"Day, Jason",72.33,72.375,0.675
"DeChambeau, Bryson",70.26,70.403,2.647
"Detry, Thomas",72.5,72.465,0.585
"Diaz, Roberto",74.31,74.31,-1.26
"Docherty, Alistair",73.53,73.53,-0.48
"Duangmanee, George",75.8,75.8,-2.75
"Dunlap, Nick",74.34,74.594,-1.544
"Echavarria, Nico",72.99,73.071,-0.021
"English, Harris",71.9,71.871,1.179
"Finau, Tony",72.02,71.984,1.066
"Fitzpatrick, Matt",72.18,72.127,0.923
"Fleetwood, Tommy",71.28,71.214,1.836
"Fox, Ryan",72.25,72.299,0.751
"Gerard, Ryan",72.28,72.331,0.719
"Ghim, Doug",72.67,72.685,0.365
"Glover, Lucas",72.81,73.002,0.048
"Gonzalez, Emilio",73.53,73.53,-0.48
"Gotterup, Chris",72.48,72.447,0.603
"Greyserman, Max",72.44,72.331,0.719
"Griffin, Ben",71.74,71.74,1.31
"Griffin, Lanto",73.4,73.4,-0.35
"Grillo, Emiliano",72.57,72.537,0.513
"Gutschewski, Trevor",78.3,78.3,-5.25
"Haefner, Grant",77.2,77.2,-4.15
"Hahn, James",74.5,74.5,-1.45
"Harman, Brian",72.67,72.703,0.347
"Harris, Frankie",74.96,74.96,-1.91
"Hastings, Justin",74.66,74.66,-1.61
"Hatton, Tyrrell",71.79,71.842,1.208
"Henley, Russell",71.8,71.832,1.218
"Herrera, Joey",77.7,77.7,-4.65
"Hicks, Justin",76.8,76.8,-3.75
"Highsmith, Joe",73.1,73.05,0.0
"Hoge, Tom",72.64,72.736,0.314
"Hojgaard, Rasmus",72.38,72.175,0.875
"Hovland, Viktor",71.88,71.744,1.306
"Howell, Mason",75.8,75.8,-2.75
"Hubbard, Mark",72.63,72.773,0.277
"Hughes, Mackenzie",72.42,72.458,0.592
"Im, Sungjae",72.15,72.201,0.849
"Jaeger, Stephan",72.66,72.788,0.262
"James, Ben",73.55,73.302,-0.252
"Johnson, Chase",75.5,75.5,-2.45
"Johnson, Dustin",72.73,72.526,0.524
"Jordan, Matthew",73.08,73.08,-0.03
"Kanaya, Takumi",73.11,73.186,-0.136
"Kawamoto, Riki",74.01,74.01,-0.96
"Keefer, Johnny",72.7,72.62,0.43
"Kent, Noah",75.8,75.8,-2.75
"Kim, Michael",72.44,72.463,0.587
"Kim, Si Woo",71.99,71.946,1.104
"Kim, Tom",72.71,72.804,0.246
"Kirk, Chris",72.88,73.014,0.036
"Kneiser, George",76.5,76.5,-3.45
"Koepka, Brooks",72.26,72.302,0.748
"Koivun, Jackson",72.83,72.776,0.274
"Kozuma, Jinichiro",73.45,73.45,-0.4
