player_name,dg_id,my_pred
scottie scheffler,18417,3.437
collin morikawa,22085,1.719
xander schauffele,19895,1.567
tommy fleetwood,12294,1.587
rory mcilroy,10091,1.374
sepp straka,17511,1.576
patrick cantlay,15466,1.602
keegan bradley,13872,1.548
russell henley,14578,1.525
aaron rai,18554,1.487
robert macintyre,23323,1.232
daniel berger,17606,1.269
ben griffin,24968,1.303
j.j. spaun,17536,1.209
si woo kim,14609,1.324
justin thomas,14139,1.079
viktor hovland,18841,1.356
shane lowry,13900,1.173
ludvig aberg,23950,1.175
maverick mcnealy,18634,1.002
jordan spieth,14636,1.005
sam burns,19483,1.063
harris english,14577,0.958
hideki matsuyama,13562,1.041
j.t. poston,21554,0.931
sungjae im,17488,0.949
jason day,9771,1.089
taylor pendrith,17780,0.861
adam scott,6430,0.962
tony finau,11676,0.803
nick taylor,13126,0.969
akshay bhatia,26096,0.928
brian harman,8825,0.893
ryan gerard,29767,0.836
andrew novak,23475,0.567
davis thompson,27364,0.741
matt fitzpatrick,17646,0.656
bud cauley,14502,0.569
sam stevens,25569,0.655
cameron young,26651,0.648
denny mccarthy,19870,0.661
mackenzie hughes,15556,0.483
tom hoge,15575,0.715
lucas glover,7399,0.671
kevin yu,17881,0.516
harry hall,27194,0.602
michael kim,17543,0.63
max greyserman,23465,0.529
christiaan bezuidenhout,18103,0.691
tom kim,24766,0.688
rickie fowler,12965,0.605
ryan fox,11889,0.282
thomas detry,14181,0.567
min woo lee,16841,0.363
alex noren,10419,0.374
luke clanton,32330,0.124
jacob bridgeman,29433,0.345
jhonattan vegas,13508,-0.255
wyndham clark,23604,0.077
stephan jaeger,16394,0.175
byeong hun an,14459,0.152
austin eckroat,26653,0.037
gary woodland,12577,0.127
matti schmid,20722,-0.091
eric cole,21756,0.025
max homa,17538,-0.22
joe highsmith,28469,0.054
cam davis,17786,-0.187
brian campbell,18628,-0.604
adam hadwin,13965,0.291
matthieu pavon,19960,-0.543
nick dunlap,28270,-2.161
