PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Song, Younghan",73.726,73.726,-1.186
"Spaun, J.J.",71.402,71.509,1.031
"Spieth, Jordan",71.391,71.474,1.066
"Stenson, Henrik",72.978,73.179,-0.639
"Straka, Sepp",71.228,71.274,1.266
"Suh, Justin",73.716,73.716,-1.176
"Svensson, Jesper",72.13,72.084,0.456
"Taylor, Nick",71.583,71.631,0.909
"Teder, Richard",75.81,75.81,-3.27
"Theegala, Sahith",72.663,72.663,-0.123
"Thomas, Justin",71.19,71.19,1.35
"Thompson, Davis",71.754,71.886,0.654
"Van Tonder, Daniel",73.45,73.45,-0.91
"Vegas, Jhonattan",72.32,72.293,0.247
"Wallace, Matt",71.834,71.76,0.78
"Walters, Justin",74.719,74.719,-2.179
"Westwood, Lee",73.612,73.411,-0.871
"Young, Cameron",72.025,71.97,0.57
"Young, Daniel",73.723,73.723,-1.183
"Yu, Kevin",71.757,71.853,0.687
"Zheng, Sampson",74.024,74.024,-1.484
