player_name,make_cut,top_20,top_10,top_5,win
"Fichardt, Darren",0.317,0.029,0.009,0.001,0.0
"Smylie, Elvis",0.315,0.023,0.005,0.001,0.0
"Hebert, Benjamin",0.31,0.022,0.005,0.001,0.0
"Brown, Hamish",0.293,0.022,0.006,0.002,0.0
"Micheluzzi, David",0.284,0.017,0.003,0.001,0.0
"Pulkkanen, Tapio",0.282,0.02,0.004,0.001,0.0
"Colsaerts, Nicolas",0.28,0.017,0.003,0.0,0.0
"Merritt, Troy",0.277,0.017,0.004,0.001,0.0
"Wu, Ashun",0.27,0.016,0.002,0.0,0.0
"Girrbach, Joel",0.272,0.019,0.005,0.001,0.0
"De Bruyn, Jannik",0.279,0.013,0.003,0.001,0.0
"Lindberg, Mikael",0.247,0.011,0.003,0.001,0.0
"De Leo, Gregorio",0.25,0.01,0.002,0.0,0.0
"Gumberg, Jordan",0.237,0.013,0.003,0.0,0.0
"Horsey, David",0.243,0.008,0.001,0.0,0.0
"Wu, Brandon",0.239,0.009,0.002,0.0,0.0
"Levy, Alexander",0.223,0.01,0.002,0.0,0.0
"Lombard, Zander",0.233,0.009,0.002,0.001,0.0
"Bjerregaard, Lucas",0.212,0.007,0.002,0.0,0.0
"Vecchi Fossa, Jacopo",0.183,0.006,0.001,0.001,0.0
"Whitnell, Dale",0.191,0.005,0.001,0.0,0.0
"Sterne, Richard",0.181,0.004,0.001,0.0,0.0
"Johnston, Ryggs",0.182,0.004,0.001,0.0,0.0
"Chappell, Kevin",0.168,0.004,0.001,0.0,0.0
"Aiken, Thomas",0.165,0.004,0.001,0.0,0.0
"Gale, Daniel",0.165,0.004,0.001,0.0,0.0
"Ahlawat, Veer",0.168,0.003,0.001,0.0,0.0
"Naidoo, Dylan",0.151,0.003,0.001,0.0,0.0
"Fisher, Ross",0.146,0.001,0.0,0.0,0.0
"Garcia-Heredia, Alfredo",0.147,0.002,0.0,0.0,0.0
"Long, Hurly",0.147,0.002,0.001,0.0,0.0
"Van Velzen, Ryan",0.142,0.003,0.0,0.0,0.0
"Baldwin, Matthew",0.147,0.002,0.0,0.0,0.0
"Germishuys, Deon",0.135,0.002,0.0,0.0,0.0
"Erickson, Dan",0.14,0.002,0.0,0.0,0.0
"Tetak, Tadeáš",0.132,0.002,0.0,0.0,0.0
"Sharma, Shubhankar",0.124,0.002,0.0,0.0,0.0
"Christensen, Tiger",0.116,0.001,0.0,0.0,0.0
"Ko, Jeong Weon",0.112,0.001,0.0,0.0,0.0
"Jin, Zihao",0.12,0.002,0.0,0.0,0.0
"Glawe, Wolfgang",0.113,0.001,0.0,0.0,0.0
"Frances, Alexander George",0.084,0.001,0.0,0.0,0.0
"Akesson, Bjorn",0.085,0.0,0.0,0.0,0.0
"Moscatel, Joel",0.087,0.0,0.0,0.0,0.0
"Donald, Luke",0.07,0.0,0.0,0.0,0.0
"Shaun, Corey",0.08,0.0,0.0,0.0,0.0
"Schwab, Matthias",0.075,0.001,0.0,0.0,0.0
"Wiedemeyer, Tim",0.059,0.0,0.0,0.0,0.0
"Pineau, Pierre",0.067,0.0,0.0,0.0,0.0
"Hirmer, Michael",0.026,0.0,0.0,0.0,0.0
"Strydom, Ockie",0.021,0.0,0.0,0.0,0.0
"Bryan, George",0.005,0.0,0.0,0.0,0.0
"Horder, Nicolas",0.001,0.0,0.0,0.0,0.0
"Trainer, Martin",0.0,0.0,0.0,0.0,0.0
"Barnes, Erik",0.0,0.0,0.0,0.0,0.0
