player,hole,par,p_eagle_or_better,p_birdie,p_par,p_bogey,p_double_or_worse
"Ahlawat, Veer",1,4,0.0034204756530071267,0.12851502287732047,0.5488556038625669,0.29937120695074837,0.0198376906563571
"Ahlawat, Veer",2,3,0.001967831461422209,0.11899859558858589,0.5854460764061329,0.28155337113107604,0.012034125412782926
"Ahlawat, Veer",3,4,0.004278402479454824,0.1337729739482189,0.5359680632880499,0.30275082526775965,0.023229735016516706
"Ahlawat, Veer",4,4,0.008418649760696006,0.19571503779140154,0.5651069672372486,0.22002512805890428,0.010734217151749603
"Ahlawat, Veer",5,4,0.024232934354768476,0.3339828836678546,0.5355481803675366,0.10409649716238079,0.0021395044474594727
"Ahlawat, Veer",6,5,0.053624505360202135,0.33512699984946126,0.4633601770935146,0.13908147944473526,0.008806838252086724
"Ahlawat, Veer",7,4,0.0011345809632640202,0.11083956036737563,0.6205102073630782,0.26050630938245434,0.00700934192382785
"Ahlawat, Veer",8,3,0.0019141273842339657,0.11966642039879555,0.5899062156483351,0.27728593428979864,0.011227302278836726
"Ahlawat, Veer",9,5,0.03843133234074131,0.34340400542660837,0.4967328247403878,0.1172420694572498,0.004189768035012698
"Ahlawat, Veer",10,4,0.00237495434717111,0.11066311533684436,0.5432911630956763,0.3217424988547055,0.0219282683656028
"Ahlawat, Veer",11,5,0.06682806054952178,0.345793154274122,0.44240217346155897,0.13526366910716914,0.009712942607628117
"Ahlawat, Veer",12,3,0.0016344472853979664,0.16336461693211451,0.6746498037753836,0.15881368161521048,0.0015374503918934579
"Ahlawat, Veer",13,4,0.005673676597737043,0.19829727257350216,0.6057244093350385,0.18537990131109594,0.0049247401826264525
"Ahlawat, Veer",14,4,0.003602709573248708,0.11869617275184824,0.5182982835186378,0.3295988500611684,0.02980398409509677
"Ahlawat, Veer",15,4,0.0019827031728665845,0.13728604788321014,0.623018553645961,0.23169269127015535,0.006020004027806891
"Ahlawat, Veer",16,4,0.02820093082119446,0.22514828872238696,0.4656742658732848,0.2468909063372331,0.03408560824590068
"Ahlawat, Veer",17,3,0.0028427293068390425,0.14042910521101776,0.5936623202521241,0.2532569469334436,0.009808898296575608
"Ahlawat, Veer",18,5,0.06713593788160899,0.36809519161583093,0.4440345783640417,0.11462416201324555,0.006110130125272839
"Aiken, Thomas",1,4,0.003448722187790465,0.12907186504450296,0.5492464071385335,0.2985263855721525,0.01970662005702062
"Aiken, Thomas",2,3,0.0019863424111794536,0.11957464134246082,0.5858664221595291,0.2806305394436478,0.011942054643182876
"Aiken, Thomas",3,4,0.004311893235896702,0.1343251039075995,0.5363377162984766,0.3019409163106508,0.023084370247376418
"Aiken, Thomas",4,4,0.008480568261327981,0.19641700628001407,0.5651613001545784,0.21928300089114627,0.010658124412933234
"Aiken, Thomas",5,4,0.024391242128464552,0.33486067477972015,0.5350196865447479,0.10360750767467086,0.002120888872396587
"Aiken, Thomas",6,5,0.05387436029925641,0.3357542137102832,0.4630107519628052,0.1386082370592716,0.00875243696838357
"Aiken, Thomas",7,4,0.001146595308403664,0.11143104136418347,0.6209465969718989,0.25952789032760326,0.006947876027910693
"Aiken, Thomas",8,3,0.0019323034521383509,0.12024901966369461,0.590318988390958,0.2763596625931426,0.011140025900066464
"Aiken, Thomas",9,5,0.03864276676975942,0.34415732103976643,0.4962774904845562,0.11676378147512523,0.0041586402307927095
"Aiken, Thomas",10,4,0.002395616580630977,0.11117598301180848,0.5437790794486855,0.32086604575627864,0.021783275202596375
"Aiken, Thomas",11,5,0.06711389949140778,0.3463651401236511,0.44204577167010733,0.13481933325802686,0.009655855456806917
"Aiken, Thomas",12,3,0.001652413896298388,0.1641890087278713,0.6746315404082867,0.15800640972572655,0.0015206272418171185
"Aiken, Thomas",13,4,0.005721344309876364,0.19908207858270327,0.6056881984768145,0.18462535247252398,0.004883026158081782
"Aiken, Thomas",14,4,0.0036311137248076775,0.1192005453335439,0.5187461731175066,0.3287953209659398,0.02962684685820205
"Aiken, Thomas",15,4,0.002002261054556642,0.13795414152704671,0.623287073402996,0.2307891003615391,0.005967423653861492
"Aiken, Thomas",16,4,0.0283396812640338,0.22569560794749044,0.4657101198015367,0.24633064306023378,0.03392394792670528
"Aiken, Thomas",17,3,0.002868345204623979,0.14106632170431216,0.5939538094724024,0.2523790762372513,0.009732447381410214
"Aiken, Thomas",18,5,0.0674352322301095,0.36870077587608685,0.44359077627558663,0.11420268106046383,0.006070534557753193
"Akesson, Bjorn",1,4,0.0030824580478742147,0.12164428433300167,0.5436817561898583,0.3100406652457123,0.02155083618355358
"Akesson, Bjorn",2,3,0.0017479670153267568,0.1119129426545285,0.5798465711119691,0.29324646139899857,0.013246057819176982
"Akesson, Bjorn",3,4,0.0038764994358709837,0.12695143039725587,0.5310776499922495,0.31296913386552483,0.025125286309098827
"Akesson, Bjorn",4,4,0.0076729181847119965,0.18699625172734508,0.5641399670268674,0.22945818838237697,0.01173267467869854
"Akesson, Bjorn",5,4,0.022313961363844892,0.32295842019499305,0.541954751535416,0.11038617372558202,0.0023866931801641567
"Akesson, Bjorn",6,5,0.05055897101497092,0.32720823635034396,0.46759838255621833,0.14511742829561158,0.009516981782855205
"Akesson, Bjorn",7,4,0.0009929732428887172,0.10358572900070295,0.6146509274464702,0.2729457486798711,0.00782462163006703
"Akesson, Bjorn",8,3,0.0016983625347669618,0.11250100879570984,0.584394807478674,0.28902871464636937,0.012377106544479766
"Akesson, Bjorn",9,5,0.0358510422011003,0.33391159965247813,0.5022676400336654,0.1233701550248516,0.004599563087904546
"Akesson, Bjorn",10,4,0.0021284418564539997,0.10434983451482949,0.5369050968955383,0.3327935681172317,0.02382305861594647
"Akesson, Bjorn",11,5,0.0633119883828126,0.3385541706099645,0.446748953450386,0.1409281668890222,0.010456720667814667
"Akesson, Bjorn",12,3,0.0014231276760207079,0.15321570677281865,0.6744052611573064,0.16919181445511233,0.0017640899387418862
"Akesson, Bjorn",13,4,0.005103415634533204,0.1885677038148627,0.6058320243111559,0.19501954363669405,0.005477312602754192
"Akesson, Bjorn",14,4,0.0032620227044075634,0.11247248930732301,0.512448008848023,0.3397089823915249,0.032108496748721516
"Akesson, Bjorn",15,4,0.0017510449239699355,0.12906289139289773,0.6192650108650268,0.24320360821690834,0.0067174446011971645
"Akesson, Bjorn",16,4,0.026503157951684286,0.21829874087337098,0.4650633890280334,0.25396067539207934,0.036174036754831995
"Akesson, Bjorn",17,3,0.0025376362566233435,0.13257141898526437,0.5896693553123773,0.26440514993146613,0.010816439514268916
"Akesson, Bjorn",18,5,0.06345780782039295,0.3604198566920358,0.44948094539943034,0.12001321873837323,0.006628171349767675
"Aphibarnrat, Kiradech",1,4,0.0045322778334091485,0.14876136567768083,0.5605985480401576,0.27040881930839544,0.015698989140356945
"Aphibarnrat, Kiradech",2,3,0.0027106938791637836,0.14010285346546086,0.5978329804732954,0.2501775965391423,0.009175875642937648
"Aphibarnrat, Kiradech",3,4,0.005587086205342484,0.15378330310531402,0.5471013759809199,0.2749145566349471,0.01861367807347647
"Aphibarnrat, Kiradech",4,4,0.010815343233450292,0.2208125724776292,0.5650457841500012,0.19497281189711557,0.008353488241803708
"Aphibarnrat, Kiradech",5,4,0.030257898956892015,0.3644813049842931,0.5156314099194119,0.0880562307186975,0.0015731554207054632
"Aphibarnrat, Kiradech",6,5,0.0628487617542896,0.3566471595356389,0.4501935552435046,0.12322763894613198,0.007082884520434929
"Aphibarnrat, Kiradech",7,4,0.0016265124491788852,0.13266796711717493,0.6330478235218984,0.22752209264977763,0.005135604261970128
"Aphibarnrat, Kiradech",8,3,0.0026446196051119197,0.14101655902443416,0.6019818011261902,0.245833620048177,0.008523400196086772
"Aphibarnrat, Kiradech",9,5,0.04634242782696707,0.3693682350275279,0.479666795351959,0.10139934626642799,0.003223195527118028
"Aphibarnrat, Kiradech",10,4,0.0031946706598002805,0.12942189459830156,0.5584538019631581,0.2915812863913011,0.017348346387438984
"Aphibarnrat, Kiradech",11,5,0.07731282536074624,0.36529934302185463,0.4291335208310395,0.12035887418899738,0.007895436597362249
"Aphibarnrat, Kiradech",12,3,0.002373934518070331,0.1934792981900626,0.6707779168474495,0.13232596666180896,0.001042883782608639
"Aphibarnrat, Kiradech",13,4,0.007550724017664545,0.2264784410346165,0.6020951521855125,0.16022686908550832,0.003648813676698226
"Aphibarnrat, Kiradech",14,4,0.004714168357302817,0.13703530963999466,0.5323042054377163,0.30179869400556547,0.02414762255942071
"Aphibarnrat, Kiradech",15,4,0.0027731605362441014,0.16171631775620593,0.6297208496526647,0.20137261089037317,0.004417061164512015
"Aphibarnrat, Kiradech",16,4,0.03335979713967979,0.24436027108016423,0.4658214423420351,0.22762577685179786,0.028832712586323028
"Aphibarnrat, Kiradech",17,3,0.0038632959252553056,0.16362637276776165,0.601500040532966,0.22356810575216213,0.007442185021854897
"Aphibarnrat, Kiradech",18,5,0.07813926262226462,0.38866558304369114,0.42774454153187275,0.10058852809858776,0.004862084703583736
"Armitage, Marcus",1,4,0.0045357833668313585,0.14882044379672016,0.5606259328971417,0.2703292654079952,0.01568857453131156
"Armitage, Marcus",2,3,0.002713078760290588,0.14016489068228544,0.5978610427832954,0.2500921682796141,0.009168819494514424
"Armitage, Marcus",3,4,0.005591184469169008,0.15384150819869752,0.547127429899039,0.2748378887674333,0.018601988665661207
"Armitage, Marcus",4,4,0.010822780678792054,0.22088457012136958,0.5650400092107792,0.1949050821531746,0.008347557835884478
"Armitage, Marcus",5,4,0.030276291865935556,0.3645662189407847,0.5155715373717026,0.0880141633800009,0.0015717884415762384
"Armitage, Marcus",6,5,0.06287610736464677,0.3567063181423872,0.45015394833873723,0.12318509895568586,0.007078527198542961
"Armitage, Marcus",7,4,0.0016281211454084454,0.13273258527283593,0.6330751222739596,0.2274330977246274,0.005131073583168666
"Armitage, Marcus",8,3,0.002646967936778377,0.14107933452187132,0.6020088579085652,0.24574809919402973,0.008516740438755388
"Armitage, Marcus",9,5,0.04636618688398869,0.36943993352605764,0.4796157200568308,0.10135735196313267,0.003220807569990214
"Armitage, Marcus",10,4,0.0031972744679968357,0.12947695758208067,0.5584908280068699,0.29149812232574535,0.01733681761730721
"Armitage, Marcus",11,5,0.07734371142400404,0.3653526201330773,0.42909402702727983,0.12031882251850567,0.007890818897133167
"Armitage, Marcus",12,3,0.0023763637352348654,0.19356751444408532,0.670757850119664,0.13225653461830578,0.001041737082710048
"Armitage, Marcus",13,4,0.007556643547937836,0.22655961949659648,0.6020782429981746,0.16015977817319615,0.003645715784094894
"Armitage, Marcus",14,4,0.004717653688828871,0.13708883091068885,0.5323386982322157,0.30172160657778313,0.024133210590483456
"Armitage, Marcus",15,4,0.002775714649809524,0.1617879831517997,0.6297319235640848,0.20129119390531747,0.004413184728988551
"Armitage, Marcus",16,4,0.03337520003363992,0.24441438466665133,0.4658186929055744,0.22757265643866953,0.028819065955464795
"Armitage, Marcus",17,3,0.003866550214235598,0.16369413013158246,0.6015152471161517,0.2234877120966713,0.00743636044135898
"Armitage, Marcus",18,5,0.07817174693422801,0.3887215166793023,0.4276966835640137,0.1005511038987682,0.004858948923687767
"Ayora, Angel",1,4,0.0053009031334833034,0.16113235970090817,0.56555732164566,0.2543189936863729,0.013690421833575606
