player,hole,par,p_eagle_or_better,p_birdie,p_par,p_bogey,p_double_or_worse
"Albertson, Anders",1,4,0.007298198450771565,0.2573555475277215,0.6171622987585716,0.1168220052783554,0.0013619499845798355
"Albertson, Anders",2,4,0.007185936221369205,0.19248088160390392,0.5773652332210881,0.2140070010168469,0.008960947936791808
"Albertson, Anders",3,4,0.003584653859115494,0.21959577129947905,0.6549888587850841,0.12084087507787455,0.0009898409784467876
"Albertson, Anders",4,5,0.009609903231313832,0.26922121449229464,0.5998875177264262,0.11955091807873197,0.0017304464712333267
"Albertson, Anders",5,3,0.006074307424381253,0.2056158728191062,0.6060156974568702,0.17781815529523048,0.004475967004411885
"Albertson, Anders",6,4,0.0015602803718507419,0.09865012814386254,0.5533306003042239,0.32723984420024566,0.019219146979817192
"Albertson, Anders",7,5,0.06029917622976183,0.3894784475005587,0.4533911432567111,0.09362456586354195,0.003206667149426412
"Albertson, Anders",8,4,0.004878381077084271,0.19392622012198335,0.6151423100894216,0.18179599909769384,0.004257089613816989
"Albertson, Anders",9,3,0.0015192497893788959,0.126101995469668,0.6267783663965121,0.2396404639581836,0.005959924386257365
"Albertson, Anders",10,4,0.006251551287428825,0.22530987331819086,0.6169778782806312,0.14885841297633107,0.0026022841374180317
"Albertson, Anders",11,3,0.0020308794631814786,0.12393156986915466,0.5937380931667049,0.269844047070839,0.010455410430119993
"Albertson, Anders",12,4,0.0034277615797798644,0.12774596472841665,0.5468078627269826,0.3015901992000457,0.02042821176477516
"Albertson, Anders",13,4,0.0065522507902734395,0.18852880859318577,0.5819694563270329,0.21438349680503788,0.008565987484470017
"Albertson, Anders",14,5,0.04414525239868511,0.3407453355801219,0.4835740617684255,0.1258482422040078,0.005687108048759715
"Albertson, Anders",15,3,0.006335456365334391,0.21734291376740156,0.6111018506952501,0.1618177671735278,0.0034020119984861097
"Albertson, Anders",16,4,0.001678825837479525,0.1379647702988832,0.6394392375422553,0.21652223375356816,0.0043949325678138695
"Albertson, Anders",17,5,0.04197616267178805,0.41250344224815233,0.478648073475712,0.06594742724013947,0.0009248943642081731
"Albertson, Anders",18,4,0.0029000816029381427,0.13522833208586627,0.5813647957308743,0.26832794592110343,0.012178844659217924
"An, Byeong Hun",1,4,0.01209577184167504,0.31754839056970724,0.5853679434303851,0.08426527167979814,0.0007226224784344648
"An, Byeong Hun",2,4,0.011266343351463648,0.23817572362672457,0.5740546548310497,0.1708615138152776,0.00564176437548447
"An, Byeong Hun",3,4,0.006407731234305325,0.28082852824223975,0.6267790332649394,0.08548958318693023,0.0004951240715852512
"An, Byeong Hun",4,5,0.015420504715485839,0.3276139993629815,0.5685740742910076,0.08744211447733163,0.0009493071531934127
"An, Byeong Hun",5,3,0.009886555752777915,0.2566248875750596,0.5942682881980377,0.13659345413576607,0.0026268143383587628
"An, Byeong Hun",6,4,0.002703321313553775,0.13155183540793103,0.5809826707170105,0.27234609971324597,0.012416072848258741
"An, Byeong Hun",7,5,0.0801184378698182,0.4285652337749284,0.4174815451582302,0.07180731446693189,0.0020274687300912975
"An, Byeong Hun",8,4,0.008110118890192142,0.24475909233119625,0.6054831000755297,0.13918121314445697,0.002466475558624892
"An, Byeong Hun",9,3,0.002765976500486156,0.16874824931001897,0.6384894046471987,0.18657103823554477,0.003425331306751378
"An, Byeong Hun",10,4,0.010318415058879538,0.2806148310573172,0.5965482381916447,0.11106378794600869,0.0014547277461498531
"An, Byeong Hun",11,3,0.003529641656526583,0.16339339440933487,0.6098208878418253,0.2168487884908471,0.006407287601466138
"An, Byeong Hun",12,4,0.005550394369541134,0.163837259505685,0.5650644626833454,0.25196947248005275,0.013578410961375686
"An, Byeong Hun",13,4,0.010371459664022586,0.2343993536166578,0.5791873343169934,0.17068880747200166,0.005353044930324513
