player,hole,par,p_eagle_or_better,p_birdie,p_par,p_bogey,p_double_or_worse
"Aberg, Ludvig",1,4,0.005216647935803842,0.12683400793005833,0.4963529462432956,0.3333996354668157,0.038196762424026476
"Aberg, Ludvig",2,4,0.008923748485042682,0.15147448006315578,0.4887870782522889,0.31153156926604,0.03928312393347266
"Aberg, Ludvig",3,4,0.019762904161547412,0.22043437862680088,0.5010949353605232,0.2359758295756239,0.02273195227550462
"Aberg, Ludvig",4,5,0.020711636400784827,0.26664201909257723,0.5330759236363776,0.17126339311099237,0.00830702775926806
"Aberg, Ludvig",5,4,0.00933449179676571,0.21460504152902926,0.573966225226274,0.19448807048108607,0.007606170966844905
"Aberg, Ludvig",6,3,0.0033060409453878337,0.13605358434984444,0.5692657105643344,0.27681795739808,0.01455670674235332
"Aberg, Ludvig",7,4,0.003090499787515355,0.10786320542002381,0.5050791359103222,0.348945296451301,0.035021862430837714
"Aberg, Ludvig",8,3,0.0014548603770526136,0.10341935640688876,0.5754490516742724,0.30546759357743103,0.01420913796435519
"Aberg, Ludvig",9,4,0.0038660695836527093,0.09686312779721845,0.4425635957035806,0.3892334374916011,0.06747376942394712
"Aberg, Ludvig",10,4,0.004506173988577722,0.1286789179591134,0.5180526929807318,0.3193021796773412,0.029460035394235917
"Aberg, Ludvig",11,4,0.016931055779030924,0.2465782003566641,0.5406528249697997,0.18634294372673443,0.009494975167770758
"Aberg, Ludvig",12,5,0.005430414851250398,0.1313717510352186,0.5028560205852699,0.32518542338761414,0.035156390140646976
"Aberg, Ludvig",13,3,0.009617509529839474,0.21129904004049294,0.5680214505121386,0.20227765432510658,0.00878434559242236
"Aberg, Ludvig",14,4,0.00881922853254452,0.2506719246360269,0.6011693597107932,0.13687391968920803,0.00246556743142734
"Aberg, Ludvig",15,4,0.003720554079455707,0.10102789033732656,0.4613816152219195,0.377727907151476,0.05614203320982225
"Aberg, Ludvig",16,3,0.00265122066489748,0.14388281693921273,0.6068672226269549,0.2388784959179725,0.007720243850962372
"Aberg, Ludvig",17,4,0.024597507499337534,0.2742358882639907,0.5201190424275738,0.17167393636824768,0.009373625440850297
"Aberg, Ludvig",18,4,0.003257648017121695,0.1263231933578277,0.5490609875529823,0.30147574420125833,0.01988242687080999
"An, Byeong Hun",1,4,0.004085731887002841,0.11088226721673494,0.48136015990794345,0.35798851785928143,0.045683323129037334
"An, Byeong Hun",2,4,0.00717119416372719,0.13454799402340728,0.4774567111783524,0.33427355773478984,0.04655054289972327
"An, Byeong Hun",3,4,0.01629311200529765,0.20018521447258225,0.49879617325418,0.2574139813206653,0.027311518947274793
"An, Byeong Hun",4,5,0.016793305475269693,0.2420666023785354,0.5382299725036167,0.1924496257512256,0.010460493891352618
"An, Byeong Hun",5,4,0.007253126893004169,0.19003250946680056,0.5735989567935065,0.21934064153913269,0.009774765307556166
"An, Byeong Hun",6,3,0.0024735031085279524,0.11694668336815878,0.5559114979318501,0.3062359113800449,0.01843240421141823
"An, Byeong Hun",7,4,0.0023567985853419904,0.0928372710184649,0.48684710915127155,0.3755749164599843,0.042383904784937254
"An, Byeong Hun",8,3,0.0010453228175724694,0.08679361641306266,0.5559768329898562,0.3379442730294214,0.018239954750087217
"An, Byeong Hun",9,4,0.0030352938046763756,0.0842276950888392,0.424040195161807,0.4100858759264281,0.07861094001824931
"An, Byeong Hun",10,4,0.0034816678360098385,0.11188581913330847,0.5031757922279554,0.3456668676920761,0.035789853110650194
"An, Byeong Hun",11,4,0.01361933760533357,0.222471363003245,0.5433221402735324,0.20865658810448662,0.011930571013402336
"An, Byeong Hun",12,5,0.0042519319911450415,0.11494001461509118,0.488500309149249,0.35010294230469563,0.042204801939819125
"An, Byeong Hun",13,3,0.007505541811828109,0.18731502954401652,0.5668153928704709,0.22716115918289115,0.011202876590793331
"An, Byeong Hun",14,4,0.006692507469392206,0.22139773435307897,0.6091197457832119,0.15943863373406586,0.0033513786602510365
"An, Byeong Hun",15,4,0.002900027266087679,0.08764669287188293,0.44295851700677635,0.4004052215691619,0.06608954128609112
"An, Byeong Hun",16,3,0.001933652144400777,0.12269803458243517,0.5959285370829499,0.2693004970758781,0.010139279114335986
"An, Byeong Hun",17,4,0.020164282588937155,0.2503597760265892,0.525615224835557,0.19216709838167345,0.011693618167243125
"An, Byeong Hun",18,4,0.0024540370719612348,0.10864067446839021,0.5337920998978843,0.3303383470204079,0.02477484154135634
"Bairstow, Sam",1,4,0.003396251866400357,0.0999933342108465,0.4687823656435733,0.37588347726842053,0.05194457101075933
"Bairstow, Sam",2,4,0.006077977001687551,0.12281492801273625,0.4676095539691983,0.35090811968844715,0.05258942132793076
"Bairstow, Sam",3,4,0.014075578110268605,0.18577054058350162,0.4954193394377856,0.27356202616925906,0.03117251569918511
"Bairstow, Sam",4,5,0.01432039834823906,0.2244511125834026,0.5399480469879474,0.20892881424653398,0.012351627833876888
"Bairstow, Sam",5,4,0.005988799370815867,0.17288021729927283,0.5707960298968818,0.23862626966070666,0.011708683772322814
"Bairstow, Sam",6,3,0.0019853274944132138,0.10404677016222263,0.543724959807768,0.32840764449979853,0.021835298035797646
"Bairstow, Sam",7,4,0.0019199394742213105,0.08272720965334268,0.47184244564015176,0.3949146927991928,0.048595712433091465
"Bairstow, Sam",8,3,0.000813742433966147,0.07582140026276646,0.5392859785492599,0.3622648032907513,0.02181407546325631
"Bairstow, Sam",9,4,0.002528391717734446,0.07567598725014396,0.40938519325241324,0.4247059556166788,0.08770447216302957
"Bairstow, Sam",10,4,0.002864240968334486,0.10046513543949598,0.49046575023299965,0.3650503998694896,0.041154473489680266
"Bairstow, Sam",11,4,0.011544821724613186,0.20532684005240298,0.5431411865014601,0.22592291456802394,0.014064237153499803
"Bairstow, Sam",12,5,0.003533499714315158,0.10370929422804409,0.4763212965756677,0.36831620651426034,0.04811970296771273
"Bairstow, Sam",13,3,0.006217975958433153,0.17056805290842159,0.5634782135471759,0.2463901254319839,0.013345632153985432
"Bairstow, Sam",14,4,0.0054252281493499255,0.20089045327474192,0.61199205751103,0.17751186331516977,0.004180397749708353
"Bairstow, Sam",15,4,0.002402367560844443,0.07859988575062343,0.42821985267171153,0.41649254784626466,0.07428534617055593
"Bairstow, Sam",16,3,0.0015219458747781633,0.10846016068576181,0.5850004648751153,0.29268688812652655,0.012330540437818227
"Bairstow, Sam",17,4,0.01733933348247846,0.23314962196225303,0.5277285234055799,0.20806690331275646,0.013715617836932203
"Bairstow, Sam",18,4,0.00198021105300783,0.09671569983933032,0.5204586054414697,0.35183503579268094,0.029010447873511147
"Ballester, Jose Luis",1,4,0.002732493038203221,0.08838779312225703,0.4528693396273304,0.3960216260663587,0.059988748145850646
"Ballester, Jose Luis",2,4,0.005003067397072791,0.1101301488513255,0.4548264917419061,0.3697350165891581,0.06030527542053754
"Ballester, Jose Luis",3,4,0.011846479768747975,0.16981024949490792,0.48979775702849,0.2923725805237949,0.03617293318405923
"Ballester, Jose Luis",4,5,0.011864736921664065,0.2048474066977592,0.539694508558298,0.22870040951232629,0.01489293830995242
"Ballester, Jose Luis",5,4,0.004776891996276844,0.15425256780807245,0.564936877941203,0.2616910284741819,0.014342633780265901
"Ballester, Jose Luis",6,3,0.0015321874450978101,0.09045264278922072,0.5274294853031012,0.3541834845386391,0.026402199923941216
"Ballester, Jose Luis",7,4,0.0015084548661960517,0.07209614607043191,0.4531403629405882,0.4166171824252579,0.05663785369752594
"Ballester, Jose Luis",8,3,0.0006058294818938048,0.06450087932705467,0.517903197183833,0.3903387193025336,0.026651374704684816
"Ballester, Jose Luis",9,4,0.00203985983694549,0.06662738945411933,0.3916437343895177,0.44055297906945634,0.09913603724996112
"Ballester, Jose Luis",10,4,0.0022762378951899365,0.08833846339980478,0.4741834050613698,0.3870727429378785,0.04812915070575696
"Ballester, Jose Luis",11,4,0.009498798339326486,0.18638060516237248,0.5406603495965391,0.24653549483790638,0.016924752063855575
"Ballester, Jose Luis",12,5,0.0028419468656268876,0.09172665991686457,0.460789054460614,0.3888999236038442,0.05574241515305034
