PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Aberg, Ludvig",68.22,68.245,1.175
"An, Byeong Hun",69.23,69.268,0.152
"Berger, Daniel",68.12,68.151,1.269
"Bezuidenhout, Christiaan",68.9,68.729,0.691
"Bhatia, Akshay",68.59,68.492,0.928
"Bradley, Keegan",67.92,67.872,1.548
"Bridgeman, Jacob",69.13,69.075,0.345
"Burns, Sam",68.34,68.357,1.063
"Campbell, Brian",69.72,70.024,-0.604
"Cantlay, Patrick",67.9,67.818,1.602
"Cauley, Bud",68.76,68.851,0.569
"Clanton, Luke",69.08,69.296,0.124
"Clark, Wyndham",69.18,69.343,0.077
"Cole, Eric",69.4,69.395,0.025
"Davis, Cam",69.68,69.607,-0.187
"Day, Jason",68.52,68.331,1.089
"Detry, Thomas",68.96,68.853,0.567
"Dunlap, Nick",70.96,71.581,-2.161
"Eckroat, Austin",69.27,69.383,0.037
"English, Harris",68.42,68.462,0.958
"Finau, Tony",68.57,68.617,0.803
"Fitzpatrick, Matt",68.74,68.764,0.656
"Fleetwood, Tommy",67.88,67.833,1.587
"Fowler, Rickie",68.94,68.815,0.605
"Fox, Ryan",68.94,69.138,0.282
"Gerard, Ryan",68.64,68.584,0.836
"Glover, Lucas",68.84,68.749,0.671
"Greyserman, Max",68.88,68.891,0.529
"Griffin, Ben",68.13,68.117,1.303
"Hadwin, Adam",69.75,69.129,0.291
"Hall, Harry",68.87,68.818,0.602
"Harman, Brian",68.61,68.527,0.893
"Henley, Russell",67.96,67.895,1.525
"Highsmith, Joe",69.67,69.366,0.054
"Hoge, Tom",68.84,68.705,0.715
"Homa, Max",69.65,69.64,-0.22
"Hovland, Viktor",68.18,68.064,1.356
"Hughes, Mackenzie",68.81,68.937,0.483
"Im, Sungjae",68.48,68.471,0.949
"Jaeger, Stephan",69.2,69.245,0.175
"Kim, Michael",68.88,68.79,0.63
"Kim, Si Woo",68.15,68.096,1.324
"Kim, Tom",68.92,68.732,0.688
"Lee, Min Woo",68.98,69.057,0.363
"Lowry, Shane",68.19,68.247,1.173
"MacIntyre, Robert",68.12,68.188,1.232
"Matsuyama, Hideki",68.45,68.379,1.041
"McCarthy, Denny",68.8,68.759,0.661
"McIlroy, Rory",67.88,68.046,1.374
"McNealy, Maverick",68.28,68.418,1.002
"Morikawa, Collin",67.52,67.701,1.719
"Noren, Alex",68.98,69.046,0.374
"Novak, Andrew",68.65,68.853,0.567
"Pavon, Matthieu",69.89,69.963,-0.543
"Pendrith, Taylor",68.53,68.559,0.861
"Poston, J.T.",68.48,68.489,0.931
"Rai, Aaron",68.02,67.933,1.487
"Schauffele, Xander",67.86,67.853,1.567
"Scheffler, Scottie",66.44,65.983,3.437
"Schmid, Matti",69.36,69.511,-0.091
"Scott, Adam",68.57,68.458,0.962
"Spaun, J.J.",68.13,68.211,1.209
"Spieth, Jordan",68.33,68.415,1.005
"Stevens, Sam",68.77,68.765,0.655
"Straka, Sepp",67.9,67.844,1.576
"Taylor, Nick",68.58,68.451,0.969
"Thomas, Justin",68.17,68.341,1.079
"Thompson, Davis",68.69,68.679,0.741
"Vegas, Jhonattan",69.16,69.675,-0.255
"Woodland, Gary",69.32,69.293,0.127
"Young, Cameron",68.78,68.772,0.648
"Yu, Kevin",68.86,68.904,0.516
