PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Senior, Jack",69.866,69.781,-0.771
"Sharma, Shubhankar",70.316,70.316,-1.306
"Shaun, Corey",70.859,70.859,-1.849
"Shinkwin, Callum",69.942,69.942,-0.932
"Siem, Marcel",69.493,69.499,-0.489
"Smith, Jordan",68.531,68.51,0.5
"Smylie, Elvis",70.105,70.161,-1.151
"Soderberg, Sebastian",69.612,69.564,-0.554
"Sordet, Clement",70.387,70.387,-1.377
"Sterne, Richard",70.556,70.556,-1.546
"Stone, Brandon",69.287,69.334,-0.324
"Sullivan, Andy",69.268,69.236,-0.226
"Tetak, Tadeáš",70.559,70.559,-1.549
"Trainer, Martin",72.896,72.896,-3.886
"Vaillant, Tom",69.836,69.841,-0.831
"Van Driel, Darius",69.686,69.665,-0.655
"Van Velzen, Ryan",70.63,70.63,-1.62
"Vecchi Fossa, Jacopo",70.606,70.606,-1.596
"Von Dellingshausen, Nicolai",69.268,69.299,-0.289
"Whitnell, Dale",70.849,70.849,-1.839
"Wiesberger, Bernd",69.689,69.68,-0.67
"Williams, Robin",70.149,70.177,-1.167
"Wilson, Andrew",69.843,69.828,-0.818
"Winther, Jeff",69.724,69.722,-0.712
"Wu, Brandon",70.055,70.055,-1.045
"Zanotti, Fabrizio",69.37,69.406,-0.396
"Zemmer, Aron",71.407,71.407,-2.397
