player,hole,par,p_eagle_or_better,p_birdie,p_par,p_bogey,p_double_or_worse
"Aberg, Ludvig",1,4,0.010035658814402493,0.21291525906537878,0.5653332707039664,0.20265757386953132,0.00905823754672097
"Aberg, Ludvig",2,4,0.0030529324873417307,0.1279425602893498,0.5599900870985601,0.2919687466484736,0.017045673476274725
"Aberg, Ludvig",3,5,0.062325168882905235,0.4375013269349983,0.43774152338243594,0.061360907670138465,0.0010710731295220377
"Aberg, Ludvig",4,4,0.009158942001701087,0.21019721134358088,0.5717858236976228,0.20055122976128925,0.008306793195806073
"Aberg, Ludvig",5,4,0.026307630828095785,0.3507897898659801,0.5281154037376203,0.09312904131015154,0.0016581342581523106
"Aberg, Ludvig",6,3,0.008482232166049042,0.21684306145750654,0.5849239955730358,0.18374760097465392,0.006003109828754738
"Aberg, Ludvig",7,4,0.002895898193215507,0.14621624639620878,0.6022694400760586,0.24037455370376137,0.008243861630755633
"Aberg, Ludvig",8,4,0.00443530517799684,0.142476349051272,0.550670268432407,0.28386926919845656,0.0185488081398677
"Aberg, Ludvig",9,3,0.0018089049922739298,0.12954380127762144,0.6171088520716013,0.24457865595084394,0.006959785707659427
"Aberg, Ludvig",10,5,0.04334920783460855,0.36075952057123856,0.48609724281682254,0.10630589218698028,0.003488136590350077
"Aberg, Ludvig",11,4,0.008808052478092743,0.20591802791161617,0.5714814025681743,0.20506053533376223,0.008731981708354541
"Aberg, Ludvig",12,3,0.0021658861732380408,0.19266535625840608,0.6764511524552115,0.12782911643831774,0.0008884886748267151
"Aberg, Ludvig",13,4,0.012351624610781597,0.28753023600309485,0.5843734733934693,0.11398212949917785,0.001762536493476352
"Aberg, Ludvig",14,3,0.007856275310782979,0.24904725454285942,0.6095285102736273,0.1315303898930006,0.002037569979729703
"Aberg, Ludvig",15,4,0.008341464907770268,0.21127646887703622,0.58178795794702,0.19177762176951918,0.006816486498654295
