player,hole,par,p_eagle_or_better,p_birdie,p_par,p_bogey,p_double_or_worse
"Aberg, Ludvig",1,4,0.0024211972297412676,0.15326462229495497,0.6303201111577277,0.20930053906649182,0.004693530251084321
"Aberg, Ludvig",2,4,0.020228507533183504,0.23014147036377758,0.5084152380900289,0.22236592950386347,0.01884885450914664
"Aberg, Ludvig",3,4,0.011907053931631828,0.308128712470141,0.5873649810380819,0.09168708815238502,0.0009121644077603186
"Aberg, Ludvig",4,4,0.007808316100802237,0.1886169664584909,0.5643614072771478,0.22767398326723154,0.011539326896327529
"Aberg, Ludvig",5,3,9.326628625566658e-05,0.09704617008344807,0.7758300569148475,0.1268581212203016,0.00017238549514708712
"Aberg, Ludvig",6,5,0.03528002624714849,0.3513950011716625,0.5044077935606813,0.10596106526878502,0.0029561137517226665
"Aberg, Ludvig",7,4,0.004887205042955922,0.2076573956395169,0.6259924508383823,0.15869903633607263,0.0027639121430722557
"Aberg, Ludvig",8,3,0.007480562865894214,0.22911316357614514,0.6044395634988055,0.15565021732425577,0.0033164927348994233
"Aberg, Ludvig",9,4,0.0039574558695215645,0.17845099477785087,0.6180412528129651,0.19478875764938475,0.00476153889027775
"Aberg, Ludvig",10,4,0.011505155241001153,0.2618142009224099,0.5838424035403873,0.1397485997965584,0.0030896404996432203
"Aberg, Ludvig",11,3,0.00796315255333957,0.2595242446328722,0.6114598342967339,0.11951412532372285,0.0015386431933315237
"Aberg, Ludvig",12,4,0.02175626150204485,0.24481528943710146,0.5134678146393011,0.2048762521050107,0.015084382316541856
"Aberg, Ludvig",13,5,0.11481609182373786,0.39030206582285665,0.38496419833619044,0.10259640035624262,0.007321243660972421
"Aberg, Ludvig",14,4,0.02190011655476326,0.2856468510037659,0.5362931352672116,0.15035104256794452,0.005808854606314751
"Aberg, Ludvig",15,4,0.03333350403380114,0.32506134552081545,0.5077621359975313,0.12889679906444007,0.004946215383412
"Aberg, Ludvig",16,3,0.015013392058136066,0.22291463073824425,0.5335642026115708,0.21462289261384226,0.013884881978206587
"Aberg, Ludvig",17,4,0.0041525146095845455,0.15605526142658616,0.5826568346076402,0.24635473891093018,0.010780650445258999
"Aberg, Ludvig",18,4,0.0030886634230073984,0.24423169164901942,0.6676984028586805,0.0846767656203885,0.00030447644890418957
"An, Byeong Hun",1,4,0.0017506133953211767,0.13068926459135138,0.6224805205195212,0.23878250481594177,0.006297096677864489
