PLAYER NAME,PROJECTED STROKES,ADJUSTED STROKES,DELTA
"Spaun, J.J.",71.402,71.509,0.107
"Spieth, Jordan",71.391,71.474,0.083
"Stenson, Henrik",72.978,73.179,0.201
"Straka, Sepp",71.228,71.274,0.046
"Suh, Justin",73.716,73.716,0.0
"Svensson, Jesper",72.13,72.084,-0.046
"Taylor, Nick",71.583,71.631,0.048
"Teder, Richard",75.81,75.81,0.0
"Theegala, Sahith",72.663,72.663,0.0
"Thomas, Justin",71.19,71.19,0.0
"Thompson, Davis",71.754,71.886,0.132
"Van Tonder, Daniel",73.45,73.45,0.0
"Vegas, Jhonattan",72.32,72.293,-0.027
"Wallace, Matt",71.834,71.76,-0.074
"Walters, Justin",74.719,74.719,0.0
"Westwood, Lee",73.612,73.411,-0.201
"Young, Cameron",72.025,71.97,-0.055
"Young, Daniel",73.723,73.723,0.0
"Yu, Kevin",71.757,71.853,0.096
"Zheng, Sampson",74.024,74.024,0.0
