PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Thompson, Davis",68.87,68.876,0.784
"Thorbjornsen, Michael",68.998,68.963,0.697
"Thornberry, Braden",71.106,71.106,-1.446
"Valdes, Brendan",70.032,70.032,-0.372
"Valimaki, Sami",69.719,69.702,-0.042
"Van Rooyen, Erik",69.302,69.29,0.37
"Vegas, Jhonattan",69.308,69.287,0.373
"Velo, Kevin",70.55,70.55,-0.89
"Ventura, Kris",69.637,69.603,0.057
"Vilips, Karl",70.353,70.353,-0.693
"Villegas, Camilo",70.797,70.797,-1.137
"Walker, Danny",70.141,70.141,-0.481
"Wallace, Matt",68.984,68.968,0.692
"Whaley, Vince",69.168,69.161,0.499
"Willett, Danny",70.523,70.523,-0.863
"Woodland, Gary",69.588,69.491,0.169
"Wu, Dylan",69.956,69.956,-0.296
"Young, Carson",69.564,69.564,0.096
"Yu, Kevin",68.887,68.92,0.74
