player,hole,par,p_eagle_or_better,p_birdie,p_par,p_bogey,p_double_or_worse
"Aberg, Ludvig",1,4,0.006835034521967098,0.17095203059498099,0.5539765203084935,0.25285559018684944,0.015380824387708936
"Aberg, Ludvig",2,5,0.05526240873429422,0.4194303892101342,0.4543747980445363,0.06958800131523246,0.0013444026958028266
"Aberg, Ludvig",3,3,0.003806255382667545,0.20640273348046057,0.6446257993382823,0.14341780687826766,0.0017474049203218822
"Aberg, Ludvig",4,4,0.006279593074218048,0.15929280006992674,0.5440935760450984,0.2714161188499661,0.018917911960790734
"Aberg, Ludvig",5,4,0.02581258788683599,0.30444817817712844,0.5269473367207707,0.13777862723550882,0.005013269979756041
"Aberg, Ludvig",6,3,0.002169325191781646,0.12831540675909975,0.5966677768177818,0.2630116012741974,0.009835889957139354
"Aberg, Ludvig",7,5,0.011528189991990567,0.21585921052709917,0.5541931321217273,0.20776774308767998,0.010651724271503071
"Aberg, Ludvig",8,4,0.006404880430731674,0.20636194343474362,0.6019196341838007,0.18047917137742797,0.004834370573296054
"Aberg, Ludvig",9,4,0.007656705866897762,0.16639102934694655,0.5342096905415445,0.2708117100660148,0.020930864178596353
"Aberg, Ludvig",10,4,0.011373190520652887,0.2509501926038925,0.5802931571135551,0.15331985322863162,0.004063606533267872
"Aberg, Ludvig",11,4,0.0073000551586374085,0.13086679300700382,0.46631476420832235,0.34274325134615036,0.05277513627988606
"Aberg, Ludvig",12,5,0.04755158482448413,0.34789659734018635,0.4771539538909917,0.12189792925610377,0.005499934688234065
"Aberg, Ludvig",13,3,0.006186883907577934,0.244181733894145,0.6255127260556739,0.12268966043494622,0.001428995707656977
"Aberg, Ludvig",14,4,0.005253149004719571,0.17027115421043731,0.5805060299566389,0.23379212238805958,0.010177544440144626
"Aberg, Ludvig",15,4,0.008284692437006858,0.15999078319444876,0.5140178365664906,0.2895914484862644,0.02811523931578941
