tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2023,The Renaissance Club,1,1,4,467,3.96,-0.04,1,37,85,31,1
2023,The Renaissance Club,1,2,4,492,4.31,0.31,0,8,94,50,3
2023,The Renaissance Club,1,3,5,587,4.52,-0.48,4,73,72,5,1
2023,The Renaissance Club,1,4,4,422,4.06,0.06,0,27,97,28,3
2023,The Renaissance Club,1,5,4,332,3.83,-0.17,0,38,105,12,0
2023,The Renaissance Club,1,6,3,122,3.14,0.14,0,16,104,33,2
2023,The Renaissance Club,1,7,4,509,4.07,0.07,0,19,106,30,0
2023,The Renaissance Club,1,8,4,435,4.15,0.15,0,14,107,31,3
2023,The Renaissance Club,1,9,3,195,3.24,0.24,0,9,102,42,2
2023,The Renaissance Club,1,10,5,593,4.61,-0.39,1,63,87,3,1
2023,The Renaissance Club,1,11,4,459,3.97,-0.03,0,28,105,20,2
2023,The Renaissance Club,1,12,3,199,2.91,-0.09,0,18,133,4,0
2023,The Renaissance Club,1,13,4,425,3.79,-0.21,0,41,109,3,2
2023,The Renaissance Club,1,14,3,143,3.01,0.01,0,25,104,26,0
2023,The Renaissance Club,1,15,4,477,3.88,-0.12,0,39,100,12,4
2023,The Renaissance Club,1,16,5,575,4.85,-0.15,0,41,98,15,1
2023,The Renaissance Club,1,17,3,189,3.07,0.07,0,8,128,19,0
2023,The Renaissance Club,1,18,4,466,4.34,0.34,0,7,98,41,9
2023,The Renaissance Club,2,1,4,453,4.01,0.01,0,28,98,25,2
2023,The Renaissance Club,2,2,4,492,4.08,0.08,0,20,103,27,3
2023,The Renaissance Club,2,3,5,611,4.8,-0.2,1,45,92,14,1
2023,The Renaissance Club,2,4,4,411,3.96,-0.04,0,26,109,16,2
2023,The Renaissance Club,2,5,4,345,3.59,-0.41,1,65,83,4,0
2023,The Renaissance Club,2,6,3,155,2.84,-0.16,0,34,109,10,0
2023,The Renaissance Club,2,7,4,491,4.3,0.3,0,5,99,47,2
2023,The Renaissance Club,2,8,4,462,4.32,0.32,0,8,95,44,6
2023,The Renaissance Club,2,9,3,224,3.16,0.16,0,10,108,35,0
2023,The Renaissance Club,2,10,5,591,4.78,-0.22,4,46,83,19,1
2023,The Renaissance Club,2,11,4,479,3.95,-0.05,1,36,89,24,3
2023,The Renaissance Club,2,12,3,193,3.01,0.01,0,17,118,18,0
2023,The Renaissance Club,2,13,4,404,3.95,-0.05,1,25,109,17,1
2023,The Renaissance Club,2,14,3,172,2.68,-0.32,1,51,97,4,0
2023,The Renaissance Club,2,15,4,484,4.13,0.13,0,13,108,31,1
2023,The Renaissance Club,2,16,5,565,4.5,-0.5,5,70,75,3,0
2023,The Renaissance Club,2,17,3,194,3.09,0.09,0,10,120,22,1
2023,The Renaissance Club,2,18,4,479,4.02,0.02,0,16,119,17,1
2023,The Renaissance Club,3,1,4,456,4.12,0.12,0,4,60,13,0
2023,The Renaissance Club,3,2,4,475,4.1,0.1,0,4,62,10,1
2023,The Renaissance Club,3,3,5,587,4.39,-0.61,1,48,25,3,0
2023,The Renaissance Club,3,4,4,423,3.94,-0.06,0,14,55,7,1
2023,The Renaissance Club,3,5,4,329,3.65,-0.35,1,30,41,5,0
2023,The Renaissance Club,3,6,3,138,2.95,-0.05,0,10,62,4,1
2023,The Renaissance Club,3,7,4,490,4.1,0.1,0,9,52,15,1
2023,The Renaissance Club,3,8,4,445,4.16,0.16,0,8,51,16,2
2023,The Renaissance Club,3,9,3,195,3.16,0.16,0,4,57,16,0
2023,The Renaissance Club,3,10,5,597,4.51,-0.49,3,38,32,3,1
2023,The Renaissance Club,3,11,4,460,3.86,-0.14,0,16,56,5,0
2023,The Renaissance Club,3,12,3,179,2.88,-0.12,0,16,54,7,0
2023,The Renaissance Club,3,13,4,373,3.82,-0.18,0,20,52,4,1
2023,The Renaissance Club,3,14,3,162,2.88,-0.12,0,13,60,4,0
2023,The Renaissance Club,3,15,4,486,3.9,-0.1,0,18,50,8,1
2023,The Renaissance Club,3,16,5,585,4.61,-0.39,1,32,41,2,1
2023,The Renaissance Club,3,17,3,197,3.14,0.14,0,4,58,15,0
2023,The Renaissance Club,3,18,4,486,4.36,0.36,0,3,45,27,2
2023,The Renaissance Club,4,1,4,464,4.08,0.08,0,10,53,12,2
2023,The Renaissance Club,4,2,4,440,4.34,0.34,0,3,47,25,2
2023,The Renaissance Club,4,3,5,606,4.57,-0.43,2,35,34,6,0
2023,The Renaissance Club,4,4,4,414,4.17,0.17,0,8,51,16,2
2023,The Renaissance Club,4,5,4,331,4.03,0.03,0,12,52,12,1
2023,The Renaissance Club,4,6,3,140,3.21,0.21,0,5,52,19,1
2023,The Renaissance Club,4,7,4,507,4.1,0.1,0,6,57,14,0
2023,The Renaissance Club,4,8,4,403,4.32,0.32,0,6,44,24,3
2023,The Renaissance Club,4,9,3,171,3.38,0.38,0,2,47,25,3
2023,The Renaissance Club,4,10,5,580,4.87,-0.13,1,18,48,10,0
2023,The Renaissance Club,4,11,4,484,3.91,-0.09,0,14,56,7,0
2023,The Renaissance Club,4,12,3,190,3,0,0,7,64,5,1
2023,The Renaissance Club,4,13,4,360,3.75,-0.25,2,29,33,12,1
2023,The Renaissance Club,4,14,3,154,3.22,0.22,0,8,44,25,0
2023,The Renaissance Club,4,15,4,480,4.13,0.13,0,8,53,14,2
2023,The Renaissance Club,4,16,5,524,4.79,-0.21,0,26,42,8,1
2023,The Renaissance Club,4,17,3,191,3.23,0.23,0,5,49,23,0
2023,The Renaissance Club,4,18,4,454,4.68,0.68,0,3,28,38,8
