player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Norris, Shaun",150,-0.239,-0.002,43,-0.046,-0.010,0.013,-0.075,-0.031,-0.004,0.010,0.016,0.022,-0.369,2.804,"Genesis Scottish Open","The Renaissance Club"
"Von Dellingshausen, Nicolai",150,-0.399,-0.013,32,0.001,0.013,0.080,-0.088,-0.017,-0.004,0.034,0.015,0.045,-0.379,2.781,"Genesis Scottish Open","The Renaissance Club"
"Ramsay, Richie",150,-0.519,0.211,42,-0.041,0.024,0.088,-0.086,0.057,-0.032,-0.108,0.025,-0.115,-0.381,2.739,"Genesis Scottish Open","The Renaissance Club"
"Vilips, Karl",150,-0.483,-0.150,23,0.038,0.069,-0.058,0.094,-0.045,0.018,0.073,0.049,0.139,-0.396,2.803,"Genesis Scottish Open","The Renaissance Club"
"Walker, Danny",150,-0.174,-0.169,29,0.012,0.040,-0.129,-0.076,-0.045,0.015,0.110,0.019,0.143,-0.396,2.803,"Genesis Scottish Open","The Renaissance Club"
"Langasque, Romain",150,-0.413,-0.071,30,0.011,-0.027,-0.016,-0.054,0.111,-0.009,0.030,0.009,0.030,-0.428,2.791,"Genesis Scottish Open","The Renaissance Club"
"Del Rey, Alejandro",150,-0.751,-0.044,27,0.023,0.008,-0.030,0.108,0.017,0.029,0.134,0.065,0.228,-0.443,2.832,"Genesis Scottish Open","The Renaissance Club"
"Pavon, Matthieu",150,-0.660,0.076,32,-0.000,-0.006,-0.094,0.168,0.045,-0.003,-0.058,0.076,0.015,-0.456,2.851,"Genesis Scottish Open","The Renaissance Club"
"Crocker, Sean",150,-0.545,-0.116,28,0.016,-0.025,0.024,0.080,0.035,0.005,0.015,0.051,0.071,-0.460,2.827,"Genesis Scottish Open","The Renaissance Club"
"Bradbury, Dan",150,-0.657,0.041,25,0.029,-0.022,0.060,0.114,-0.039,0.001,-0.053,0.064,0.012,-0.461,2.803,"Genesis Scottish Open","The Renaissance Club"
"Ravetto, David",150,-0.773,-0.015,28,0.020,0.019,0.087,0.144,-0.045,0.011,0.001,0.069,0.082,-0.481,2.803,"Genesis Scottish Open","The Renaissance Club"
"Katsuragawa, Yuto",150,-0.598,-0.057,26,0.026,0.047,0.083,0.105,-0.047,-0.012,-0.071,0.040,-0.043,-0.484,2.803,"Genesis Scottish Open","The Renaissance Club"
"Coussaud, Ugo",150,-0.541,-0.040,32,-0.001,0.025,-0.018,-0.065,-0.001,0.014,0.093,0.046,0.152,-0.488,2.803,"Genesis Scottish Open","The Renaissance Club"
