tournament_year,course_name,round_num,hole_num,hole_par,hole_yardage,scoring_avg,rel_scoring_avg,eagles_or_better,birdies,pars,bogeys,doubles_or_worse
2022,Detroit Golf Club,1,1,4,382,3.83,-0.17,0,38,106,10,1
2022,Detroit Golf Club,1,2,4,454,3.92,-0.08,0,27,114,14,0
2022,Detroit Golf Club,1,3,4,399,3.97,-0.03,0,22,116,17,0
2022,Detroit Golf Club,1,4,5,616,4.7,-0.3,1,54,92,7,1
2022,Detroit Golf Club,1,5,3,160,2.88,-0.12,0,33,107,15,0
2022,Detroit Golf Club,1,6,4,478,4.26,0.26,0,9,101,41,4
2022,Detroit Golf Club,1,7,5,560,4.57,-0.43,8,63,73,9,2
2022,Detroit Golf Club,1,8,4,371,3.93,-0.07,1,22,119,13,0
2022,Detroit Golf Club,1,9,3,191,3.05,0.05,0,14,120,21,0
2022,Detroit Golf Club,1,10,4,424,3.88,-0.12,0,42,91,21,1
2022,Detroit Golf Club,1,11,3,216,3.06,0.06,1,22,98,34,0
2022,Detroit Golf Club,1,12,4,485,4.15,0.15,0,17,102,32,4
2022,Detroit Golf Club,1,13,4,398,4.01,0.01,0,28,97,30,0
2022,Detroit Golf Club,1,14,5,569,4.78,-0.22,3,49,87,11,5
2022,Detroit Golf Club,1,15,3,145,2.95,-0.05,0,37,88,30,0
2022,Detroit Golf Club,1,16,4,451,4.05,0.05,0,18,112,24,1
2022,Detroit Golf Club,1,17,5,575,4.59,-0.41,5,60,85,4,1
2022,Detroit Golf Club,1,18,4,452,4.1,0.1,0,19,103,32,1
2022,Detroit Golf Club,2,1,4,392,3.99,-0.01,0,21,114,17,1
2022,Detroit Golf Club,2,2,4,449,3.93,-0.07,0,30,108,12,3
2022,Detroit Golf Club,2,3,4,397,3.88,-0.12,0,37,101,11,4
2022,Detroit Golf Club,2,4,5,630,4.79,-0.21,1,53,78,20,1
2022,Detroit Golf Club,2,5,3,147,2.98,-0.02,0,25,106,22,0
2022,Detroit Golf Club,2,6,4,456,4.07,0.07,0,17,110,25,1
2022,Detroit Golf Club,2,7,5,542,4.52,-0.48,3,75,68,7,0
2022,Detroit Golf Club,2,8,4,374,4.03,0.03,0,22,107,21,3
2022,Detroit Golf Club,2,9,3,200,3.12,0.12,0,11,113,29,0
2022,Detroit Golf Club,2,10,4,421,3.86,-0.14,0,40,97,14,2
2022,Detroit Golf Club,2,11,3,237,3.21,0.21,0,10,104,36,3
2022,Detroit Golf Club,2,12,4,492,4.12,0.12,0,20,95,37,1
2022,Detroit Golf Club,2,13,4,382,3.95,-0.05,1,24,110,17,1
2022,Detroit Golf Club,2,14,5,559,4.88,-0.12,2,46,84,15,6
2022,Detroit Golf Club,2,15,3,162,3.11,0.11,1,9,115,28,0
2022,Detroit Golf Club,2,16,4,447,4.04,0.04,0,20,109,22,2
2022,Detroit Golf Club,2,17,5,577,4.57,-0.43,1,72,72,8,0
2022,Detroit Golf Club,2,18,4,460,4.02,0.02,1,25,100,24,3
2022,Detroit Golf Club,3,1,4,399,3.77,-0.23,0,24,44,7,0
2022,Detroit Golf Club,3,2,4,441,3.91,-0.09,0,13,57,4,1
2022,Detroit Golf Club,3,3,4,382,3.77,-0.23,1,19,51,4,0
2022,Detroit Golf Club,3,4,5,631,4.64,-0.36,0,35,35,3,2
2022,Detroit Golf Club,3,5,3,175,2.88,-0.12,0,14,56,5,0
2022,Detroit Golf Club,3,6,4,472,4.01,0.01,0,13,48,14,0
2022,Detroit Golf Club,3,7,5,544,4.61,-0.39,2,33,35,3,2
2022,Detroit Golf Club,3,8,4,356,3.75,-0.25,0,27,40,8,0
2022,Detroit Golf Club,3,9,3,206,3.19,0.19,0,5,51,19,0
2022,Detroit Golf Club,3,10,4,426,3.87,-0.13,0,18,49,8,0
2022,Detroit Golf Club,3,11,3,240,3.24,0.24,0,4,49,22,0
2022,Detroit Golf Club,3,12,4,497,4.09,0.09,0,9,53,11,2
2022,Detroit Golf Club,3,13,4,388,3.84,-0.16,0,19,49,7,0
2022,Detroit Golf Club,3,14,5,571,4.65,-0.35,2,31,33,9,0
2022,Detroit Golf Club,3,15,3,139,2.97,-0.03,0,10,59,4,2
2022,Detroit Golf Club,3,16,4,455,3.97,-0.03,0,14,49,12,0
2022,Detroit Golf Club,3,17,5,570,4.35,-0.65,3,45,25,2,0
2022,Detroit Golf Club,3,18,4,443,4.19,0.19,0,7,49,17,2
2022,Detroit Golf Club,4,1,4,396,3.79,-0.21,0,22,47,6,0
2022,Detroit Golf Club,4,2,4,455,3.89,-0.11,0,14,55,6,0
2022,Detroit Golf Club,4,3,4,381,3.75,-0.25,0,21,52,2,0
2022,Detroit Golf Club,4,4,5,620,4.43,-0.57,3,37,35,0,0
2022,Detroit Golf Club,4,5,3,165,2.81,-0.19,0,20,50,4,1
2022,Detroit Golf Club,4,6,4,459,4.11,0.11,0,5,58,11,1
2022,Detroit Golf Club,4,7,5,561,4.53,-0.47,0,39,32,4,0
2022,Detroit Golf Club,4,8,4,383,4.13,0.13,0,9,49,15,2
2022,Detroit Golf Club,4,9,3,214,3.11,0.11,0,8,53,12,2
2022,Detroit Golf Club,4,10,4,429,3.93,-0.07,1,16,46,11,1
2022,Detroit Golf Club,4,11,3,188,3.17,0.17,0,3,56,16,0
2022,Detroit Golf Club,4,12,4,482,4.17,0.17,0,6,50,19,0
2022,Detroit Golf Club,4,13,4,397,3.65,-0.35,0,31,39,5,0
2022,Detroit Golf Club,4,14,5,557,4.4399999999999995,-0.56,5,35,33,1,1
2022,Detroit Golf Club,4,15,3,155,2.95,-0.05,0,13,53,9,0
2022,Detroit Golf Club,4,16,4,456,4,0,0,12,51,12,0
2022,Detroit Golf Club,4,17,5,567,4.23,-0.77,4,50,21,0,0
2022,Detroit Golf Club,4,18,4,473,4.07,0.07,0,10,52,11,2
