dg_id,frl,make_cut,morning,player_name,pred,r1_w_adjust,r2_w_adjust,r3_w_adjust,sd,top_10,top_20,top_30,top_5,win
18417,0.04588333333333333,0.8933166666666666,1,scottie scheffler,2.908,-0.0706666666666666,0.0528,0,2.9326585105895,0.4873314780589792,0.6543534137852887,0.7492498033679281,0.3434404172679187,0.12213333333333333
19195,0.029383333333333334,0.8449833333333333,1,jon rahm,2.365,-0.0586666666666666,0.0428,0,2.93474777746602,0.35234320905945954,0.5225450074925077,0.6359532435619936,0.22572371693121746,0.06545
10091,0.0318,0.8422333333333333,0,rory mcilroy,2.331,0.03648,0.0362962962962963,0,2.9864121372428,0.3518432579457571,0.5194341040672279,0.6310851893476892,0.22560457732082723,0.06521666666666667
19841,0.025033333333333335,0.79615,0,bryson dechambeau,1.945,0.01248,0.0162962962962963,0,2.97960456975692,0.2662040933140934,0.4245245324582822,0.5408710079272564,0.15813728234728222,0.0401
12294,0.0234,0.81305,0,tommy fleetwood,1.985,0.03648,0.0362962962962963,0,2.90911224819378,0.27159951696451695,0.4364037884569135,0.5562668911181413,0.15813261243386248,0.038016666666666664
19895,0.01935,0.7782,1,xander schauffele,1.808,-0.0586666666666666,0.0428,0,2.96218241865946,0.23196235269360224,0.38359482952913054,0.5037620251330911,0.132666032347282,0.03191666666666667
18841,0.017166666666666667,0.75095,0,viktor hovland,1.577,0.02448,0.0262962962962963,0,2.96759244194714,0.1957151232563731,0.33935907405094806,0.454358900960151,0.10787218915343903,0.0241
14796,0.016316666666666667,0.7557166666666667,0,tyrrell hatton,1.617,0.00048,0.0062962962962963,0,2.93733183957179,0.1955716720779222,0.3448793489380991,0.461433796411922,0.10597019179894165,0.02385
23950,0.017283333333333335,0.7492333333333333,0,ludvig aberg,1.573,0.02448,0.0262962962962963,0,2.98080932817604,0.1964033707958707,0.34067240874865884,0.4540956341806344,0.10846406806156803,0.022366666666666667
22085,0.014483333333333334,0.7378333333333333,1,collin morikawa,1.54,-0.0706666666666666,0.0528,0,2.97057269808939,0.18381887001886993,0.3237743533781039,0.43887824925074936,0.09888301587301576,0.020383333333333333
17646,0.015266666666666666,0.7267166666666667,1,matt fitzpatrick,1.48,-0.0346666666666666,0.0228,0,2.98219526603065,0.17302656625781612,0.309976798756798,0.4242644214812966,0.09236832010581987,0.019
14139,0.01575,0.7156166666666667,0,justin thomas,1.35,0.03648,0.0362962962962963,0,3.018708818053,0.16158300264550252,0.2914558447108452,0.40206287020849524,0.08673489417989419,0.017933333333333332
23323,0.01455,0.7358833333333333,0,robert macintyre,1.475,0.01248,0.0162962962962963,0,2.92216295698153,0.16838122072372064,0.3092187767325271,0.42661087840400375,0.08861785714285708,0.017683333333333332
13900,0.013433333333333334,0.7121,1,shane lowry,1.34,-0.0706666666666666,0.0528,0,2.98720577518604,0.15264332010582002,0.2820284206996708,0.39377418035668066,0.07938246693121682,0.0158
18079,0.0138,0.7145,0,joaquin niemann,1.34,0.00048,0.0062962962962963,0,2.96839567857546,0.1527306625781625,0.2841118512043512,0.3956018034743037,0.07842417328042321,0.015566666666666666
15466,0.01265,0.70965,1,patrick cantlay,1.299,0.0373333333333332,-0.0271999999999999,0,2.93459582978881,0.14641842833092805,0.27282302651052676,0.38502366772116764,0.07496698412698403,0.013916666666666667
