player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"wilco nienaber",25889,rsa,-0.913,2.9295,0.499,0.125,0.057,0.026,0.004
"richie ramsay",11396,sco,-0.887,2.8386,0.501,0.124,0.055,0.024,0.003
"ricardo gouveia",18722,por,-0.929,2.909,0.492,0.122,0.056,0.025,0.004
"dan bradbury",29971,eng,-0.913,2.927,0.496,0.122,0.055,0.025,0.004
"connor syme",22089,sco,-0.95,2.8917,0.49,0.116,0.051,0.023,0.004
"manuel elvira",26008,esp,-0.988,2.927,0.489,0.116,0.052,0.023,0.004
"ivan cantero gutierrez",19635,esp,-0.985,2.927,0.479,0.114,0.052,0.023,0.004
"angel hidalgo",24127,esp,-0.977,2.9081,0.481,0.114,0.05,0.022,0.003
"callum tarren",20519,eng,-0.982,2.9033,0.479,0.113,0.05,0.023,0.004
"andrew wilson",25588,eng,-1.056,2.927,0.468,0.107,0.048,0.022,0.003
"davis bryant",32550,usa,-1.131,2.927,0.471,0.107,0.048,0.021,0.004
"gavin green",12530,mas,-1.021,2.8965,0.468,0.106,0.046,0.02,0.003
"simon forsstrom",19806,swe,-1.067,2.927,0.466,0.106,0.047,0.02,0.004
"freddy schott",27588,ger,-1.079,2.927,0.465,0.104,0.046,0.02,0.003
"jens dantorp",14018,swe,-1.096,2.895,0.468,0.104,0.045,0.019,0.003
"benjamin hebert",12213,fra,-1.12,2.9308,0.467,0.102,0.045,0.02,0.003
"david micheluzzi",19224,aus,-1.119,2.927,0.463,0.099,0.044,0.019,0.003
"shubhankar sharma",17081,ind,-1.109,2.9318,0.452,0.099,0.043,0.019,0.003
"thomas aiken",7679,rsa,-1.134,2.8708,0.458,0.095,0.04,0.017,0.003
"jordan gumberg",23892,usa,-1.162,2.927,0.454,0.095,0.039,0.017,0.002
"gregorio de leo",26506,ita,-1.16,2.927,0.448,0.094,0.041,0.018,0.003
"jack senior",15115,eng,-1.197,2.8817,0.441,0.088,0.037,0.016,0.002
"clement sordet",17718,fra,-1.317,2.9047,0.434,0.084,0.035,0.015,0.002
"joakim lagergren",14780,swe,-1.288,2.9319,0.417,0.083,0.034,0.015,0.002
"minkyu kim",20780,kor,-1.264,2.927,0.419,0.079,0.033,0.014,0.002
"tapio pulkkanen",13139,fin,-1.329,2.9387,0.42,0.079,0.032,0.014,0.002
"nicolas colsaerts",6893,bel,-1.339,2.9311,0.413,0.079,0.034,0.014,0.002
"ryggs johnston",32449,usa,-1.356,2.927,0.415,0.078,0.033,0.014,0.002
"joel girrbach",15592,sui,-1.335,2.927,0.418,0.077,0.032,0.013,0.002
"wil besseling",9413,ned,-1.343,2.8909,0.42,0.077,0.032,0.013,0.002
"algot kleen",27647,swe,-1.469,2.927,0.416,0.076,0.031,0.013,0.002
"matthew baldwin",13344,eng,-1.438,2.9353,0.397,0.071,0.029,0.011,0.002
"albert boneta",29948,esp,-1.375,2.927,0.399,0.071,0.029,0.012,0.001
"veer ahlawat",22897,ind,-1.44,2.927,0.399,0.067,0.027,0.011,0.002
"lars van meijel",17858,ned,-1.435,2.927,0.395,0.067,0.027,0.011,0.002
"rafa cabrera bello",7457,esp,-1.424,2.8797,0.393,0.066,0.026,0.011,0.001
"deon germishuys",25888,rsa,-1.477,2.927,0.384,0.061,0.023,0.009,0.001
"jannik de bruyn",23112,ger,-1.525,2.927,0.377,0.06,0.024,0.01,0.001
"joel moscatel",27815,esp,-1.532,2.927,0.379,0.06,0.024,0.009,0.001
"ryan van velzen",27960,rsa,-1.523,2.927,0.373,0.06,0.024,0.01,0.001
"hamish brown",22168,den,-1.589,2.927,0.378,0.059,0.024,0.01,0.002
"dan erickson",29520,usa,-1.575,2.927,0.364,0.059,0.023,0.009,0.001
"mikael lindberg",20084,swe,-1.587,2.927,0.371,0.058,0.024,0.009,0.001
"jeong weon ko",26213,fra,-1.63,2.927,0.363,0.053,0.02,0.008,0.001
"zihao jin",31187,chn,-1.681,2.927,0.354,0.051,0.019,0.007,0.001
"daniel gale",19212,aus,-1.668,2.927,0.353,0.051,0.019,0.008,0.001
"dale whitnell",13821,eng,-1.71,2.934,0.352,0.05,0.019,0.008,0.001
"dylan naidoo",19429,rsa,-1.693,2.927,0.35,0.05,0.019,0.007,0.001
"daan huizing",12650,ned,-1.723,2.9205,0.344,0.047,0.018,0.007,0.001
"alfredo garcia-heredia",7887,esp,-1.723,2.8916,0.342,0.046,0.017,0.007,0.001
"corey shaun",24599,usa,-1.816,2.927,0.336,0.045,0.017,0.007,0.001
"richard sterne",7049,rsa,-1.79,2.8988,0.331,0.045,0.017,0.006,0.001
"ross fisher",9396,eng,-1.818,2.9197,0.335,0.042,0.015,0.006,0.001
"lucas bjerregaard",11619,den,-1.811,2.8995,0.328,0.04,0.015,0.006,0.001
"zander lombard",16897,rsa,-1.954,2.9288,0.32,0.039,0.014,0.005,0.001
"tadeáš tetak",27808,svk,-1.87,2.927,0.314,0.038,0.015,0.006,0.001
"lars van der vight",28912,ned,-1.965,2.927,0.309,0.036,0.013,0.005,0.001
"bjorn akesson",11530,swe,-1.95,2.927,0.309,0.036,0.013,0.005,0.001
"justin harding",10886,rsa,-1.984,2.9313,0.293,0.033,0.012,0.004,0.001
"jimmy walker",7293,usa,-2.114,2.9131,0.3,0.033,0.011,0.004,0.001
"danny list",24170,aus,-2.07,2.927,0.288,0.032,0.011,0.004,0.001
"alexander george frances",25183,den,-2.07,2.927,0.288,0.031,0.011,0.004,0
"chris wood",12451,eng,-2.16,2.9716,0.281,0.031,0.011,0.004,0.001
"pierre pineau",20900,fra,-2.093,2.927,0.298,0.03,0.01,0.004,0
"jean bekirian",25626,fra,-2.123,2.927,0.281,0.029,0.01,0.004,0
"julien brun",16363,fra,-2.047,2.8736,0.277,0.029,0.01,0.003,0
"bastien amat",28592,fra,-2.194,2.927,0.286,0.028,0.01,0.004,0
"vince van veen",18956,ned,-2.176,2.927,0.273,0.027,0.009,0.003,0
"benjamin follet-smith",15211,zim,-2.193,2.927,0.271,0.025,0.009,0.003,0
"alexander knappe",12318,ger,-2.34,2.9504,0.252,0.022,0.007,0.003,0
"jamie donaldson",7084,wal,-2.323,2.9194,0.244,0.021,0.007,0.003,0
"matthias schwab",15016,aut,-2.351,2.9237,0.243,0.019,0.006,0.002,0
"ockie strydom",13731,rsa,-2.508,2.9855,0.219,0.018,0.005,0.002,0
"wouter de vries",9414,ned,-2.66,2.9561,0.214,0.015,0.005,0.002,0
"benjamin reuter",27146,ned,-2.973,2.927,0.167,0.008,0.002,0.001,0
"gonzalo fdez-castano",8262,esp,-3.129,2.9473,0.149,0.007,0.002,0.001,0
"martin trainer",15634,fra,-3.228,2.9403,0.128,0.005,0.001,0,0
"davey porsius",24417,ned,-3.558,2.927,0.109,0.004,0.001,0,0
"scott woltering",31506,ned,-3.587,2.9517,0.097,0.003,0.001,0,0
"nevill ruiter",30034868,ned,-3.752,2.927,0.088,0.002,0,0,0
"guus lafeber",30043093,ned,-4.217,2.9712,0.057,0.001,0,0,0
"aydan verdonk",25130,ned,-4.365,2.927,0.051,0.001,0,0,0
"bjorn driessen",31545,ned,-4.191,2.9536,0.056,0.001,0,0,0
"koen kouwenaar",25602,ned,-4.462,2.927,0.044,0,0,0,0
