player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"jason scrivener",12734,aus,-0.822,2.8664,+119,+897,+2207,+5275,+34582
"andreas halvorsen",17747,nor,-0.851,2.927,+109,+803,+1905,+4318,+30051
"scott jamieson",11397,sco,-0.864,2.9007,+121,+912,+2218,+5182,+34784
"guido migliozzi",17357,ita,-0.874,2.9248,+125,+894,+2202,+5174,+33608
"tom vaillant",28157,fra,-0.876,2.927,+112,+820,+2013,+4585,+27550
"angel hidalgo",24127,esp,-0.878,2.9092,+111,+857,+2112,+4921,+32687
"gavin green",12530,mas,-0.883,2.8947,+124,+946,+2401,+5897,+41858
"joe dean",16497,eng,-0.899,2.927,+125,+935,+2257,+5359,+39635
"joakim lagergren",14780,swe,-0.926,2.95,+125,+912,+2226,+5096,+31815
"clement sordet",17718,fra,-0.931,2.9136,+126,+936,+2333,+5472,+39374
"wesley bryan",21236,usa,-0.932,2.9661,+118,+813,+1866,+4191,+23900
"rafa cabrera bello",7457,esp,-0.933,2.8995,+125,+979,+2502,+5951,+39900
"matthew southgate",15191,eng,-0.963,2.8896,+120,+934,+2363,+5830,+40441
"adrian otaegui",14975,uae,-0.984,2.8543,+122,+1027,+2690,+6735,+50747
"andrew wilson",25588,eng,-0.986,2.927,+120,+902,+2231,+5153,+32509
"taiga semikawa",19681,jpn,-0.987,2.927,+133,+1057,+2618,+6345,+50320
"robin williams",24093,rsa,-0.992,2.927,+133,+1055,+2630,+6398,+46054
"jack senior",15115,eng,-1.028,2.891,+126,+1063,+2753,+6910,+44676
"jose luis ballester",28473,esp,-1.062,2.927,+130,+1019,+2541,+6102,+43378
"davis bryant",32550,usa,-1.072,2.927,+141,+1103,+2678,+6551,+46412
"casey jarvis",26947,rsa,-1.073,2.927,+132,+1120,+2809,+6908,+44676
"conor purcell",25963,irl,-1.077,2.927,+129,+1038,+2614,+6550,+44344
"minkyu kim",20780,kor,-1.085,2.927,+128,+1076,+2790,+6932,+45702
"simon forsstrom",19806,swe,-1.085,2.927,+142,+1138,+2927,+7107,+50320
"ben schmidt",27258,eng,-1.086,2.927,+132,+1088,+2795,+6576,+42757
"darren fichardt",5754,rsa,-1.102,2.9522,+132,+1050,+2591,+6240,+34582
"elvis smylie",24200,aus,-1.119,2.927,+147,+1227,+3152,+7853,+50320
"benjamin hebert",12213,fra,-1.129,2.9304,+139,+1169,+2998,+7396,+58152
"hamish brown",22168,den,-1.179,2.927,+158,+1373,+3550,+8655,+65834
"david micheluzzi",19224,aus,-1.196,2.927,+153,+1334,+3476,+8405,+72189
"tapio pulkkanen",13139,fin,-1.2,2.9322,+149,+1254,+3284,+8200,+65834
"nicolas colsaerts",6893,bel,-1.205,2.928,+143,+1186,+3024,+7464,+54445
"troy merritt",13367,usa,-1.225,2.9089,+146,+1277,+3270,+8181,+57592
"ashun wu",11763,chn,-1.227,2.8889,+147,+1287,+3351,+8286,+82092
"joel girrbach",15592,sui,-1.253,2.927,+165,+1490,+3847,+9920,+88135
"jannik de bruyn",23112,ger,-1.286,2.927,+164,+1464,+3797,+9283,+66567
"mikael lindberg",20084,swe,-1.313,2.927,+154,+1454,+3879,+9734,+88135
"gregorio de leo",26506,ita,-1.318,2.927,+172,+1604,+4348,+11016,+92208
"jordan gumberg",23892,usa,-1.342,2.927,+158,+1512,+3955,+10080,+70488
