name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Brown, Daniel","Penge, Marco",void,72-hole match,+114,-144,null,+115,-143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+132,-132,null
"Greyserman, Max","Neergaard-Petersen, Rasmus",void,72-hole match,-102,-128,null,-108,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+102,-102,null
"English, Harris","Spaun, J.J.",void,72-hole match,-125,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-118,null,null,null,null,null,null,null,-120,+100,null,+100,-130,null,null,null,null,+112,-112,null
"Rose, Justin","Wallace, Matt",void,72-hole match,+155,-197,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+165,-200,null,null,null,null,null,null,null,+179,-179,null
"Woodland, Gary","Lawrence, Thriston",void,72-hole match,null,null,null,+108,-134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Yu, Kevin","Gotterup, Chris",void,72-hole match,null,null,null,+102,-126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"MacIntyre, Robert","Aberg, Ludvig",void,72-hole match,null,null,null,-130,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-109,+109,null
"Straka, Sepp","Rai, Aaron",void,72-hole match,null,null,null,-101,-122,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Fitzpatrick, Matt","Burns, Sam",void,72-hole match,null,null,null,-130,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Thomas, Justin","Hovland, Viktor",void,72-hole match,null,null,null,+104,-128,null,null,null,null,null,null,null,null,null,null,-105,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Bezuidenhout, Christiaan","Hisatsune, Ryo",void,72-hole match,null,null,null,-124,+101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-108,+108,null
"Olesen, Thorbjorn","Wallace, Matt",void,72-hole match,null,null,null,-107,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Detry, Thomas","Clark, Wyndham",void,72-hole match,null,null,null,-127,+103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Rose, Justin","Harman, Brian",void,72-hole match,null,null,null,+119,-148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+138,-138,null
"Mitchell, Keith","Perez, Victor",void,72-hole match,null,null,null,+112,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Taylor, Nick","McCarthy, Denny",void,72-hole match,null,null,null,-107,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Spaun, J.J.","Hall, Harry",void,72-hole match,null,null,null,-108,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Pendrith, Taylor","Hojgaard, Nicolai",void,72-hole match,null,null,null,-111,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Jordan, Matthew","Bridgeman, Jacob",void,72-hole match,null,null,null,-117,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Reitan, Kristoffer","Potgieter, Aldrich",void,72-hole match,null,null,null,-110,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Fox, Ryan","Rai, Aaron",void,72-hole match,null,null,null,-117,-105,null,null,null,null,null,null,null,null,null,null,-118,-105,null,null,null,null,null,null,null,null,null,null,-115,-115,null,null,null,null,-109,+109,null
"Scott, Adam","McNealy, Maverick",void,72-hole match,null,null,null,-131,+106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"McNealy, Maverick","Hojgaard, Rasmus",void,72-hole match,null,null,null,-113,-109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Noren, Alex","An, Byeong Hun",void,72-hole match,null,null,null,-114,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-100,null
"Van Rooyen, Erik","Schmid, Matti",void,72-hole match,null,null,null,-104,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Fitzpatrick, Matt","Aberg, Ludvig",void,72-hole match,null,null,null,+103,-127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Fleetwood, Tommy","Schauffele, Xander",void,72-hole match,null,null,null,-124,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-135,+105,null,null,null,null,-119,+119,null
"Hughes, Mackenzie","Hoge, Tom",void,72-hole match,null,null,null,-122,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Cauley, Bud","Clanton, Luke",void,72-hole match,null,null,null,-132,+107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-119,+119,null
"Echavarria, Nico","Couvra, Martin",void,72-hole match,null,null,null,-105,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-100,null
"Norgaard, Niklas","Svensson, Jesper",void,72-hole match,null,null,null,-102,-121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-105,null
"Kim, Si Woo","Knapp, Jake",void,72-hole match,null,null,null,-125,+101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Fox, Ryan","Hall, Harry",void,72-hole match,null,null,null,-116,-106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+104,-104,null
"Smith, Jordan","Novak, Andrew",void,72-hole match,null,null,null,-128,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Im, Sungjae","Kim, Tom",void,72-hole match,null,null,null,-133,+107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"English, Harris","Berger, Daniel",void,72-hole match,null,null,null,-122,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,+110,null
"Fleetwood, Tommy","Hovland, Viktor",void,72-hole match,null,null,null,null,null,null,-165,+130,null,null,null,null,-165,+130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-137,+137,null
"McIlroy, Rory","Schauffele, Xander",void,72-hole match,null,null,null,null,null,null,-175,+140,null,null,null,null,-175,+140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-139,+139,null
"English, Harris","Hall, Harry",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Detry, Thomas","Rai, Aaron",void,72-hole match,null,null,null,null,null,null,+110,-140,null,null,null,null,+115,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+119,-119,null
"Kim, Si Woo","Pendrith, Taylor",void,72-hole match,null,null,null,null,null,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Thomas, Justin","MacIntyre, Robert",void,72-hole match,null,null,null,null,null,null,+100,-125,null,null,null,null,-105,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Hojgaard, Rasmus","Neergaard-Petersen, Rasmus",void,72-hole match,null,null,null,null,null,null,-105,-120,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+101,-101,null
"Burns, Sam","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,+100,-130,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-115,null
"Noren, Alex","Greyserman, Max",void,72-hole match,null,null,null,null,null,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-113,null
"Scott, Adam","Straka, Sepp",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Taylor, Nick","Kim, Tom",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-121,+121,null
"Scheffler, Scottie","Morikawa, Collin",void,72-hole match,null,null,null,null,null,null,-380,+275,null,null,null,null,-350,+270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-234,+234,null
"Spaun, J.J.","Fitzpatrick, Matt",void,72-hole match,null,null,null,null,null,null,+100,-130,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Fox, Ryan","Berger, Daniel",void,72-hole match,null,null,null,null,null,null,-115,-110,null,null,null,null,-115,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-121,+121,null
"Knapp, Jake","Greyserman, Max",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-140,null,null,null,null,+115,-115,null
"Rose, Justin","Scott, Adam",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+160,-200,null,null,null,null,+214,-214,null
"Morikawa, Collin","Aberg, Ludvig",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,-106,+106,null
"Hojgaard, Nicolai","Hojgaard, Rasmus",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-140,null,null,null,null,+118,-118,null
"Fitzpatrick, Matt","MacIntyre, Robert",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-140,null,null,null,null,+118,-118,null
"Smith, Jordan","Brown, Daniel",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+110,null,null,null,null,-120,+120,null
"McNealy, Maverick","McCarthy, Denny",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,-128,+128,null
"Fleetwood, Tommy","MacIntyre, Robert",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-126,+126,null
"Burns, Sam","Morikawa, Collin",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+122,-122,null
"Scott, Adam","Fitzpatrick, Matt",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-107,null
