player_name,sample_size,baseline,major_adj,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Molinari, Francesco",150,-0.689,0.058,-0.019,42,-0.044,0.047,0.084,0.039,0.036,-0.022,0.040,0.011,0.028,-0.459,2.962,"The Open Championship","Royal Portrush Golf Club"
"Catlin, John",150,-0.396,-0.023,-0.094,34,-0.009,0.005,-0.057,0.074,-0.040,-0.013,0.042,0.009,0.039,-0.501,2.974,"The Open Championship","Royal Portrush Golf Club"
"Lindell, Oliver",150,-0.337,-0.050,0.022,26,0.026,0.056,-0.124,-0.051,-0.040,-0.005,-0.016,0.004,-0.017,-0.516,2.981,"The Open Championship","Royal Portrush Golf Club"
"Smylie, Elvis",150,-0.632,-0.035,0.008,23,0.041,-0.011,0.140,0.008,-0.040,0.003,-0.013,0.000,-0.010,-0.530,2.981,"The Open Championship","Royal Portrush Golf Club"
"Olesen, Jacob Skov",150,-0.592,-0.037,0.015,26,0.029,0.018,-0.020,0.073,-0.040,-0.006,-0.003,0.011,0.002,-0.553,2.981,"The Open Championship","Royal Portrush Golf Club"
"Norris, Shaun",150,-0.365,0.005,-0.021,43,-0.046,-0.024,-0.002,-0.077,-0.035,-0.008,-0.006,-0.004,-0.018,-0.583,2.984,"The Open Championship","Royal Portrush Golf Club"
"Harrington, Padraig",150,-0.851,0.068,0.138,53,-0.093,-0.008,0.101,-0.024,0.016,-0.008,-0.013,0.010,-0.011,-0.665,2.973,"The Open Championship","Royal Portrush Golf Club"
"Mickelson, Phil",150,-0.579,0.102,-0.032,55,-0.099,-0.022,0.123,-0.114,-0.045,-0.010,-0.019,0.009,-0.020,-0.685,2.987,"The Open Championship","Royal Portrush Golf Club"
"Kaewkanjana, Sadom",150,-0.533,-0.021,-0.042,27,0.025,0.000,-0.085,-0.013,-0.040,-0.023,0.033,-0.004,0.006,-0.703,2.981,"The Open Championship","Royal Portrush Golf Club"
"Van Tonder, Daniel",150,-0.497,-0.017,-0.047,34,-0.008,-0.009,-0.288,-0.005,-0.040,-0.019,0.015,0.004,0.000,-0.910,3.013,"The Open Championship","Royal Portrush Golf Club"
"Westwood, Lee",150,-1.067,0.133,-0.047,52,-0.086,-0.002,0.113,-0.111,0.023,-0.021,-0.013,0.006,-0.029,-1.072,2.947,"The Open Championship","Royal Portrush Golf Club"
"Hidalgo Portillo, Angel",150,-1.134,-0.050,-0.061,27,0.024,0.012,0.000,0.150,-0.040,-0.010,0.003,0.007,-0.000,-1.100,2.982,"The Open Championship","Royal Portrush Golf Club"
"Migliozzi, Guido",150,-0.896,0.014,0.002,28,0.018,-0.010,-0.159,-0.012,-0.040,-0.009,-0.020,-0.003,-0.032,-1.115,2.999,"The Open Championship","Royal Portrush Golf Club"
