name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Moore, Taylor","Hojgaard, Nicolai",void,r1 match-up,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,+111,null
"Woodland, Gary","Hubbard, Mark",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Svensson, Adam","Ghim, Doug",void,r1 match-up,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+125,-125,null
"Burns, Sam","Aberg, Ludvig",void,r1 match-up,null,null,null,null,null,null,+110,-140,null,+105,-125,null,+110,-140,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-110,null
"Taylor, Nick","Im, Sungjae",void,r1 match-up,null,null,null,null,null,null,null,null,null,+100,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,+113,-135,null,null,null,null,null,null,null,+121,-121,null
"Hughes, Mackenzie","Clanton, Luke",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"McIlroy, Rory","Pendrith, Taylor",void,r1 match-up,null,null,null,null,null,null,null,null,null,-160,+135,null,-190,+150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-147,+147,null
"Detry, Thomas","Keefer, Johnny",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Mitchell, Keith","Hall, Harry",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Smalley, Alex","Kitayama, Kurt",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
"Hojgaard, Rasmus","Young, Cameron",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Noren, Alex","Lowry, Shane",void,r1 match-up,null,null,null,null,null,null,+120,-150,null,+120,-140,null,+115,-150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+131,-131,null
"Olesen, Thorbjorn","Conners, Corey",void,r1 match-up,null,null,null,null,null,null,+120,-150,null,+125,-150,null,+120,-150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+138,-138,null
"Fox, Ryan","MacIntyre, Robert",void,r1 match-up,null,null,null,null,null,null,null,null,null,+125,-150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+138,-138,null
"Wallace, Matt","Clark, Wyndham",void,r1 match-up,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-103,+103,null
