player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Hadley, Chesson",150,-0.582,0.000,38,-0.024,-0.033,0.107,-0.059,0.051,0.002,0.001,-0.000,0.002,-0.538,2.848,"3M Open","TPC Twin Cities"
"Pavon, Matthieu",150,-0.644,0.000,32,-0.000,0.006,0.034,0.062,-0.046,0.015,0.028,0.005,0.048,-0.541,2.917,"3M Open","TPC Twin Cities"
"Montgomery, Taylor",150,-0.283,0.000,30,0.010,-0.010,0.117,-0.236,-0.033,0.022,-0.111,-0.018,-0.108,-0.542,2.880,"3M Open","TPC Twin Cities"
"Higgs, Harry",150,-0.510,0.000,33,-0.004,0.010,0.021,0.054,-0.044,-0.038,-0.038,0.005,-0.070,-0.544,2.900,"3M Open","TPC Twin Cities"
"Pak, John",150,-0.747,0.000,26,0.026,0.054,0.004,-0.085,-0.038,0.116,0.054,0.006,0.175,-0.610,2.870,"3M Open","TPC Twin Cities"
"Vilips, Karl",150,-0.557,0.000,23,0.038,0.075,-0.203,0.105,-0.046,-0.062,-0.052,0.008,-0.105,-0.693,2.870,"3M Open","TPC Twin Cities"
"Mullinax, Trey",150,-0.568,0.000,33,-0.002,0.075,-0.208,0.149,-0.001,-0.085,-0.067,0.005,-0.147,-0.700,2.888,"3M Open","TPC Twin Cities"
"Ford, David",150,-0.725,0.000,22,0.043,0.004,-0.154,0.092,-0.046,0.000,0.043,0.007,0.051,-0.736,2.870,"3M Open","TPC Twin Cities"
"Reavie, Chez",150,-0.898,0.000,43,-0.049,0.039,-0.013,-0.060,0.015,0.130,0.058,0.006,0.194,-0.772,2.857,"3M Open","TPC Twin Cities"
"Buckley, Hayden",150,-1.045,0.000,29,0.014,0.003,0.053,0.154,-0.013,0.003,0.028,0.010,0.041,-0.793,2.866,"3M Open","TPC Twin Cities"
"Kizzire, Patton",150,-0.668,0.000,39,-0.030,0.006,-0.154,-0.089,0.073,0.051,-0.025,0.001,0.028,-0.833,2.844,"3M Open","TPC Twin Cities"
"Willett, Danny",150,-0.662,0.000,37,-0.023,-0.076,-0.067,-0.079,0.017,0.054,-0.021,-0.007,0.026,-0.863,2.868,"3M Open","TPC Twin Cities"
"Velo, Kevin",150,-1.018,0.000,27,0.021,-0.005,-0.065,0.155,-0.046,0.032,0.026,0.009,0.067,-0.890,2.870,"3M Open","TPC Twin Cities"
"Malnati, Peter",150,-0.920,0.000,38,-0.024,-0.038,0.125,-0.073,0.047,0.036,-0.090,-0.008,-0.062,-0.945,2.902,"3M Open","TPC Twin Cities"
"Merritt, Troy",150,-1.148,0.000,39,-0.031,-0.017,-0.059,0.050,0.056,0.065,0.010,0.006,0.081,-1.068,2.873,"3M Open","TPC Twin Cities"
"Riedel, Matthew",150,-1.021,0.000,24,0.034,0.020,-0.010,-0.009,-0.046,-0.033,-0.044,0.006,-0.071,-1.102,2.870,"3M Open","TPC Twin Cities"
"Kisner, Kevin",150,-1.265,0.000,41,-0.039,-0.071,0.161,-0.088,0.024,0.131,0.023,-0.003,0.151,-1.127,2.890,"3M Open","TPC Twin Cities"
"Villegas, Camilo",150,-0.982,0.000,43,-0.048,-0.075,0.060,-0.145,0.006,0.101,-0.055,0.000,0.046,-1.137,2.880,"3M Open","TPC Twin Cities"
"La Sasso, Michael",150,-1.042,0.000,21,0.049,0.048,-0.050,-0.008,-0.046,-0.039,-0.063,0.005,-0.097,-1.146,2.870,"3M Open","TPC Twin Cities"
"Knowles, Philip",150,-1.121,0.000,28,0.017,0.008,-0.013,-0.070,-0.046,0.051,0.010,0.008,0.068,-1.158,2.870,"3M Open","TPC Twin Cities"
"Onishi, Kaito",150,-1.131,0.000,26,0.026,-0.026,0.011,-0.097,-0.008,0.046,-0.027,0.002,0.021,-1.206,2.870,"3M Open","TPC Twin Cities"
"Del Solar, Cristobal",150,-1.011,0.000,31,0.004,-0.024,0.050,-0.117,-0.046,0.009,-0.084,-0.000,-0.075,-1.219,2.870,"3M Open","TPC Twin Cities"
"Chandler, Will",150,-1.241,0.000,27,0.021,-0.000,-0.013,0.020,-0.046,0.028,-0.003,0.000,0.026,-1.234,2.870,"3M Open","TPC Twin Cities"
"Dunlap, Nick",150,-0.847,0.000,21,0.048,0.081,-0.081,-0.293,-0.048,0.007,-0.139,-0.005,-0.137,-1.278,2.870,"3M Open","TPC Twin Cities"
"Dickson, Taylor",150,-1.192,0.000,32,-0.001,0.041,-0.153,0.042,-0.046,0.032,-0.013,0.004,0.024,-1.285,2.883,"3M Open","TPC Twin Cities"
"Campos, Rafael",150,-1.232,0.000,37,-0.020,-0.008,-0.020,0.097,-0.057,-0.022,-0.047,0.006,-0.063,-1.304,2.848,"3M Open","TPC Twin Cities"
"Herendeen, Max",150,-1.444,0.000,-1,0.000,0.000,0.035,-0.011,-0.046,0.036,-0.015,0.004,0.026,-1.441,2.870,"3M Open","TPC Twin Cities"
"Thornberry, Braden",150,-1.109,0.000,28,0.019,-0.001,-0.100,-0.147,-0.046,0.026,-0.081,-0.006,-0.061,-1.446,2.809,"3M Open","TPC Twin Cities"
"Albertson, Anders",150,-1.219,0.000,32,0.002,-0.027,-0.149,-0.037,-0.016,0.017,-0.048,0.003,-0.028,-1.476,2.806,"3M Open","TPC Twin Cities"
"Andersen, Mason",150,-1.462,0.000,26,0.026,0.022,-0.099,-0.022,-0.046,0.029,-0.046,0.001,-0.016,-1.597,2.870,"3M Open","TPC Twin Cities"
"Endycott, Harrison",150,-1.293,0.000,29,0.015,-0.007,-0.308,-0.027,-0.042,0.069,-0.010,0.001,0.060,-1.602,2.877,"3M Open","TPC Twin Cities"
"Capan III, Frankie",150,-1.186,0.000,25,0.030,-0.012,-0.144,-0.179,-0.017,0.008,-0.145,-0.007,-0.143,-1.650,2.870,"3M Open","TPC Twin Cities"
"Baddeley, Aaron",150,-1.617,0.000,44,-0.051,-0.076,-0.106,-0.125,0.162,0.138,-0.054,-0.006,0.078,-1.737,2.828,"3M Open","TPC Twin Cities"
"Cao, Yi",150,-1.576,0.000,34,-0.010,0.008,-0.130,-0.012,-0.046,-0.008,-0.024,0.010,-0.022,-1.788,2.870,"3M Open","TPC Twin Cities"
"Sargent, Gordon",150,-1.678,0.000,22,0.046,-0.014,0.085,-0.007,-0.046,-0.164,-0.149,0.003,-0.310,-1.924,2.870,"3M Open","TPC Twin Cities"
"Palmer, Ryan",150,-2.191,0.000,48,-0.071,-0.089,-0.158,0.200,0.002,0.058,-0.006,0.013,0.065,-2.242,2.870,"3M Open","TPC Twin Cities"
"Campbell, Thomas",13,-2.262,0.000,-1,0.000,0.000,-0.338,-0.011,-0.046,0.062,-0.029,0.007,0.041,-2.616,2.928,"3M Open","TPC Twin Cities"
"Feuerstein, Michael",150,-2.818,0.000,41,-0.039,0.034,-0.022,-0.008,-0.046,0.155,0.044,0.011,0.210,-2.689,2.870,"3M Open","TPC Twin Cities"
"Stallings Jr., Stephen",150,-2.567,0.000,30,0.009,-0.005,-0.228,0.093,-0.015,-0.076,-0.096,0.016,-0.157,-2.870,2.870,"3M Open","TPC Twin Cities"
"Radcliff, Josh",150,-2.536,0.000,30,0.010,-0.001,-0.277,-0.059,-0.046,0.064,-0.040,0.011,0.035,-2.873,2.870,"3M Open","TPC Twin Cities"
"Matthews, Brandon",150,-2.611,0.000,31,0.007,0.010,-0.318,0.061,-0.050,-0.141,-0.161,0.021,-0.281,-3.182,2.921,"3M Open","TPC Twin Cities"
"Herron, Carson",150,-3.030,0.000,23,0.042,-0.001,-0.188,-0.010,-0.046,0.018,-0.089,0.011,-0.060,-3.292,2.870,"3M Open","TPC Twin Cities"
