name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Woodland, Gary","Young, Cameron",void,72-hole match,+118,-148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-144,null,null,null,null,null,null,null,+122,-122,null
"Lowry, Shane","Pendrith, Taylor",void,72-hole match,-142,+112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-134,+112,null,null,null,null,null,null,null,-120,+120,null
"Taylor, Nick","Clanton, Luke",void,72-hole match,-112,-118,null,null,null,null,null,null,null,null,null,null,null,null,null,-111,-111,null,null,null,null,null,null,null,-107,-113,null,null,null,null,null,null,null,-104,+104,null
"McIlroy, Rory","Conners, Corey",void,72-hole match,-190,+150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-179,+148,null,null,null,null,null,null,null,-145,+145,null
"Conners, Corey","Aberg, Ludvig",void,72-hole match,-108,-122,null,-108,-113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-112,+112,null
"Detry, Thomas","Hojgaard, Rasmus",void,72-hole match,-103,-127,null,-101,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,+106,-106,null
"An, Byeong Hun","Schmid, Matti",void,72-hole match,-113,-117,null,-104,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+112,-112,null
"MacIntyre, Robert","Hall, Harry",void,72-hole match,-149,+119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-140,+117,null,null,null,null,null,null,null,-141,+141,null
"Kitayama, Kurt","Clark, Wyndham",void,72-hole match,-119,-111,null,-116,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+103,-103,null
"Power, Seamus","Grillo, Emiliano",void,72-hole match,-106,-124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,+104,-104,null
