player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
david micheluzzi,19224,aus,-1.119,2.927,115,876,2172,5190,35828
benjamin hebert,12213,fra,-1.12,2.9308,115,869,2119,4973,33233
davis bryant,32550,usa,-1.131,2.927,112,823,1972,4464,26927
thomas aiken,7679,rsa,-1.134,2.8708,123,983,2463,5906,39900
gregorio de leo,26506,ita,-1.16,2.927,126,979,2483,5784,36710
jordan gumberg,23892,usa,-1.162,2.927,122,956,2364,5591,44676
jack senior,15115,eng,-1.197,2.8817,128,1046,2671,6534,54445
minkyu kim,20780,kor,-1.264,2.927,136,1108,2789,6751,45355
joakim lagergren,14780,swe,-1.288,2.9319,137,1110,2789,6823,46412
clement sordet,17718,fra,-1.317,2.9047,131,1108,2822,6699,47144
tapio pulkkanen,13139,fin,-1.329,2.9387,137,1166,2905,7158,50320
joel girrbach,15592,sui,-1.335,2.927,140,1198,3115,7663,52997
nicolas colsaerts,6893,bel,-1.339,2.9311,140,1145,2822,6836,49900
wil besseling,9413,ned,-1.343,2.8909,138,1241,3233,8207,67316
ryggs johnston,32449,usa,-1.356,2.927,140,1171,2921,7237,49900
albert boneta,29948,esp,-1.375,2.927,150,1267,3322,8236,52532
rafa cabrera bello,7457,esp,-1.424,2.8797,153,1413,3723,9408,83233
lars van meijel,17858,ned,-1.435,2.927,150,1361,3560,8421,52997
matthew baldwin,13344,eng,-1.438,2.9353,151,1342,3412,8348,52074
veer ahlawat,22897,ind,-1.44,2.927,152,1405,3590,8777,69667
algot kleen,27647,swe,-1.469,2.927,140,1245,3236,7887,52074
deon germishuys,25888,rsa,-1.477,2.927,165,1546,4140,10291,67316
ryan van velzen,27960,rsa,-1.523,2.927,166,1560,3979,10213,69667
jannik de bruyn,23112,ger,-1.525,2.927,170,1567,4196,10295,77822
joel moscatel,27815,esp,-1.532,2.927,164,1594,4280,10610,86857
dan erickson,29520,usa,-1.575,2.927,173,1574,4207,10129,74900
mikael lindberg,20084,swe,-1.587,2.927,170,1651,4394,11546,88135
hamish brown,22168,den,-1.589,2.927,166,1598,4246,10386,86857
jeong weon ko,26213,fra,-1.63,2.927,175,1792,4836,12248,99900
daniel gale,19212,aus,-1.668,2.927,179,1779,4959,12676,108991
zihao jin,31187,chn,-1.681,2.927,180,1825,5129,13387,92208
dylan naidoo,19429,rsa,-1.693,2.927,186,1863,5093,12993,115285
dale whitnell,13821,eng,-1.71,2.934,184,1933,5371,15139,122349
daan huizing,12650,ned,-1.723,2.9205,187,2017,5477,14337,117547
alfredo garcia-heredia,7887,esp,-1.723,2.8916,189,2031,5501,14839,105163
richard sterne,7049,rsa,-1.79,2.8988,203,2141,5649,14983,101595
lucas bjerregaard,11619,den,-1.811,2.8995,206,2478,7267,19254,162062
corey shaun,24599,usa,-1.816,2.927,200,2111,5616,14528,124900
ross fisher,9396,eng,-1.818,2.9197,198,2179,6193,16782,149900
tadeáš tetak,27808,svk,-1.87,2.927,221,2472,7257,19878,Inf
bjorn akesson,11530,swe,-1.95,2.927,225,2834,7899,21102,199900
zander lombard,16897,rsa,-1.954,2.9288,212,2474,6795,18115,146241
lars van der vight,28912,ned,-1.965,2.927,226,2708,7787,21238,193448
justin harding,10886,rsa,-1.984,2.9313,243,3020,8620,22739,171329
julien brun,16363,fra,-2.047,2.8736,258,3305,10216,30920,187400
alexander george frances,25183,den,-2.07,2.927,248,3168,9727,28152,Inf
danny list,24170,aus,-2.07,2.927,246,3102,8971,23122,187400
pierre pineau,20900,fra,-2.093,2.927,235,3260,10098,28721,Inf
jimmy walker,7293,usa,-2.114,2.9131,234,2921,8533,23484,193448
jean bekirian,25626,fra,-2.123,2.927,257,3546,10963,31177,Inf
chris wood,12451,eng,-2.16,2.9716,253,3123,9181,25736,181718
vince van veen,18956,ned,-2.176,2.927,268,3593,11213,32309,Inf
benjamin follet-smith,15211,zim,-2.193,2.927,265,4128,12594,36252,Inf
bastien amat,28592,fra,-2.194,2.927,248,3416,10201,25004,199900
jamie donaldson,7084,wal,-2.323,2.9194,308,4570,13567,39986,Inf
alexander knappe,12318,ger,-2.34,2.9504,296,4384,13362,34480,Inf
matthias schwab,15016,aut,-2.351,2.9237,309,5098,15650,43969,Inf
ockie strydom,13731,rsa,-2.508,2.9855,353,5793,17838,48756,Inf
wouter de vries,9414,ned,-2.66,2.9561,368,6522,20458,56458,Inf
benjamin reuter,27146,ned,-2.973,2.927,506,13497,42324,128053,Inf
gonzalo fdez-castano,8262,esp,-3.129,2.9473,562,12188,46520,136567,Inf
martin trainer,15634,fra,-3.228,2.9403,690,24061,99417,Inf,Inf
davey porsius,24417,ned,-3.558,2.927,833,28985,116590,Inf,Inf
scott woltering,31506,ned,-3.587,2.9517,913,42889,198440,Inf,Inf
nevill ruiter,30034868,ned,-3.752,2.927,1033,58832,Inf,Inf,Inf
bjorn driessen,31545,ned,-4.191,2.9536,1668,172757,Inf,Inf,Inf
guus lafeber,30043093,ned,-4.217,2.9712,1603,108181,Inf,Inf,Inf
aydan verdonk,25130,ned,-4.365,2.927,1976,Inf,Inf,Inf,Inf
koen kouwenaar,25602,ned,-4.462,2.927,2175,Inf,Inf,Inf,Inf
