Team Name,Team Abbreviation,Team Rating,Home Field Advantage
Rutgers,RUT,0,2.77
Sacramento St,CSUS,-17.5,2.77
Sacred Heart,SCH,-17.5,2.77
Samford,SAM,-17.5,2.77
Sam Houston State,SHS,0,2.77
San Diego,SDG,-17.5,2.77
San Diego State,SDSU,0,2.77
San Jose State,SJS,0,2.77
SE Louisiana,SEL,-17.5,2.77
SE Missouri State,SEM,-17.5,2.77
S Illinois,SIL,-17.5,2.77
SMU,SMU,0,2.77
South Alabama,SAB,0,2.77
South Carolina,SC,0,2.77
South Carolina State,SCS,-17.5,2.77
South Dakota,SD,-17.5,2.77
South Dakota State,SDS,-17.5,2.77
Southern,SU,-17.5,2.77
Southern Miss,USM,0,2.77
Southern Utah,SUT,-17.5,2.77
South Florida,USF,0,2.77
Stanford,STA,0,2.77
Stephen F. Austin,SAU,-17.5,2.77
Stetson,STU,-17.5,2.77
St. Francis (PA),STF,-17.5,2.77
Stonehill College,STHL,-17.5,2.77
Stony Brook,SBK,-17.5,2.77
St. Thomas,UST,-17.5,2.77
Syracuse,SYR,0,2.77
Tarleton,TSU,-17.5,2.77
TCU,TCU,0,2.77
Temple,TEM,0,2.77
Tennessee,TEN,0,2.77
Tennessee State,TNST,-17.5,2.77
Tennessee Tech,TNT,-17.5,2.77
Texas,TEX,0,2.77
Texas A&M,TXAM,0,2.77
Texas A&M-Commerce,TAMC,-17.5,2.77
Texas Southern,TSO,-17.5,2.77
Texas State,TXST,0,2.77
Texas Tech,TT,0,2.77
The Citadel,CIT,-17.5,2.77
Toledo,TOL,0,2.77
Towson,TWN,-17.5,2.77
Troy,TRY,0,2.77
Tulane,TUL,0,2.77
Tulsa,TSA,0,2.77
UAB,UAB,0,2.77
UC Davis,UCD,-17.5,2.77
UCLA,UCLA,0,2.77
UL Lafayette,ULL,0,2.77
UL Monroe,ULM,0,2.77
UNLV,UNLV,0,2.77
USC,USC,0,2.77
Utah,UTH,0,2.77
Utah State,UTS,0,2.77
Utah Tech,DSU,-17.5,2.77
UTEP,UTEP,0,2.77
UT Martin,TNM,-17.5,2.77
UTSA,UTSA,0,2.77
Valparaiso,VAL,-17.5,2.77
Vanderbilt,VAN,0,2.77
Villanova,VIL,-17.5,2.77
Virginia,UVA,0,2.77
Virginia Tech,VT,0,2.77
VMI,VMI,-17.5,2.77
Wagner,WAG,-17.5,2.77
Wake Forest,WF,0,2.77
Washington,WAS,0,2.77
Washington State,WST,0,2.77
Weber State,WBS,-17.5,2.77
Western Carolina,WCU,-17.5,2.77
Western Illinois,WIL,-17.5,2.77
Western Kentucky,WKY,0,2.77
Western Michigan,WMC,0,2.77
West Georgia,UWGA,-17.5,2.77
West Virginia,WVU,0,2.77
William & Mary,WM,-17.5,2.77
Wisconsin,WIS,0,2.77
Wofford,WOF,-17.5,2.77
Wyoming,WYO,0,2.77
Yale,YAL,-17.5,2.77
Youngstown State,YSU,-17.5,2.77
