"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
669364,"Edwards, Xavier",272,0.4889705882352941,0.5110294117647058,0.21323529411764705,0.2610294117647059,0.03676470588235294,0.27205882352941174,0.3602941176470588,0.36764705882352944,0.17279411764705882,0.20588235294117646,0.11029411764705882,0.09926470588235292,0.15441176470588236,0.2573529411764706
681393,"Norby, Connor",182,0.4010989010989011,0.5989010989010989,0.3076923076923077,0.24725274725274726,0.04395604395604396,0.4230769230769231,0.32967032967032966,0.24725274725274726,0.21428571428571427,0.15384615384615385,0.03296703296703297,0.2087912087912088,0.1758241758241758,0.2142857142857143
660821,"Sánchez, Jesús",206,0.47572815533980584,0.5242718446601942,0.21844660194174756,0.24271844660194175,0.06310679611650485,0.3932038834951456,0.3640776699029126,0.24271844660194175,0.21844660194174756,0.19902912621359223,0.05825242718446602,0.17475728155339806,0.1650485436893204,0.18446601941747573
669065,"Stowers, Kyle",211,0.3933649289099526,0.6066350710900474,0.3033175355450237,0.2559241706161137,0.04739336492890995,0.43601895734597157,0.3175355450236967,0.24644549763033174,0.1895734597156398,0.16587677725118483,0.037914691943127965,0.24644549763033177,0.15165876777251186,0.20853080568720378
676572,"Wagaman, Eric",259,0.4594594594594595,0.5405405405405406,0.23166023166023167,0.2471042471042471,0.06177606177606178,0.3745173745173745,0.3938223938223938,0.23166023166023167,0.22007722007722008,0.17374517374517376,0.06563706563706563,0.1544401544401544,0.22007722007722005,0.16602316602316602
672640,"Lopez, Otto",252,0.47619047619047616,0.5238095238095238,0.24206349206349206,0.23015873015873015,0.051587301587301584,0.3333333333333333,0.4087301587301587,0.25793650793650796,0.23015873015873015,0.1984126984126984,0.047619047619047616,0.10317460317460317,0.21031746031746032,0.21031746031746035
682663,"Ramírez, Agustín",225,0.4577777777777778,0.5422222222222223,0.21333333333333335,0.25333333333333335,0.07555555555555556,0.37333333333333335,0.3688888888888889,0.2577777777777778,0.2088888888888889,0.18222222222222223,0.06666666666666667,0.16444444444444445,0.18666666666666665,0.19111111111111112
667472,"Myers, Dane",156,0.4358974358974359,0.5641025641025641,0.24358974358974358,0.26282051282051283,0.057692307692307696,0.32051282051282054,0.44871794871794873,0.23076923076923078,0.1794871794871795,0.21794871794871795,0.038461538461538464,0.14102564102564105,0.23076923076923078,0.19230769230769232
646240,"Devers, Rafael",255,0.44313725490196076,0.5568627450980392,0.28627450980392155,0.21568627450980393,0.054901960784313725,0.3137254901960784,0.41568627450980394,0.27058823529411763,0.17254901960784313,0.2196078431372549,0.050980392156862744,0.1411764705882353,0.19607843137254904,0.2196078431372549
808982,"Lee, Jung Hoo",305,0.42950819672131146,0.5704918032786885,0.28524590163934427,0.24262295081967214,0.04262295081967213,0.4065573770491803,0.36065573770491804,0.23278688524590163,0.22295081967213115,0.1540983606557377,0.05245901639344262,0.18360655737704917,0.20655737704918034,0.180327868852459
672275,"Bailey, Patrick",151,0.3973509933774834,0.6026490066225165,0.32450331125827814,0.1986754966887417,0.07947019867549669,0.2980132450331126,0.46357615894039733,0.23841059602649006,0.152317880794702,0.1986754966887417,0.046357615894039736,0.14569536423841062,0.26490066225165565,0.1920529801324503
