dg_id,frl,make_cut,morning,player_name,pred,r1_w_adjust,r2_w_adjust,r3_w_adjust,sd,top_10,top_20,top_30,top_5,win
18417,0.08163333333333334,0.9284333333333333,0,scottie scheffler,3.646,-0.0053846153846154,0.0096923076923076,0,2.85134964623709,0.6749400839438328,0.807285910062159,0.8682430955155968,0.530699034391537,0.2391
19841,0.04003333333333333,0.8417,1,bryson dechambeau,2.647,0.0115384615384615,-0.0096923076923076,0,2.89294377232974,0.4275217946867952,0.5983013245550745,0.7010000787638295,0.2832100000000006,0.0845
22085,0.02675,0.7813666666666667,0,collin morikawa,2.125,-0.0053846153846154,0.0096923076923076,0,2.88562605168233,0.3040395159470164,0.47415263694638676,0.590638067224172,0.1818470376382874,0.04305
18079,0.026166666666666668,0.78735,0,joaquin niemann,2.161,-0.0053846153846154,0.0036923076923076,0,2.87836873951553,0.3103175466662963,0.48273734339734253,0.5985295535945538,0.1853565145502644,0.042916666666666665
19195,0.023983333333333332,0.7775,0,jon rahm,2.089,-0.0053846153846154,0.0096923076923076,0,2.85984586303453,0.2879420361582867,0.46353409308284427,0.5836906686369198,0.16873774470899477,0.03738333333333333
10091,0.023466666666666667,0.7546,1,rory mcilroy,1.924,0.0055384615384615,-0.0036923076923076,0,2.89926857659156,0.256728402847153,0.4228388845413842,0.5409743520831016,0.14393284391534367,0.03138333333333333
23950,0.020383333333333333,0.7252166666666666,1,ludvig aberg,1.726,0.0175384615384615,-0.0096923076923076,0,2.9,0.22267041874791876,0.3753397364672365,0.4935004246216757,0.12355261904761894,0.02625
12294,0.01945,0.7473,1,tommy fleetwood,1.836,0.0175384615384615,-0.0096923076923076,0,2.82135643774489,0.23286579841454846,0.3988488207163195,0.5220421204721188,0.12591433862433843,0.0247
19895,0.01865,0.71095,1,xander schauffele,1.665,0.0115384615384615,-0.0096923076923076,0,2.88907479651615,0.20467932359307434,0.35748250166500245,0.4752263840326342,0.11027738816738807,0.020566666666666667
17576,0.014633333333333333,0.6877333333333333,0,corey conners,1.493,-0.0053846153846154,0.0036923076923076,0,2.86610944124658,0.17196325364450366,0.31500407638657707,0.4332330070392573,0.08842314153439143,0.01605
15466,0.0139,0.6823833333333333,1,patrick cantlay,1.462,0.0055384615384615,-0.0036923076923076,0,2.8553224635027,0.16590247789247806,0.3077350573963083,0.4267176491563992,0.08478242123617112,0.01505
13900,0.015066666666666667,0.6757833333333333,1,shane lowry,1.42,0.0055384615384615,-0.0036923076923076,0,2.89424747175277,0.1598944246031742,0.29990269818144843,0.4170392993580493,0.08137441798941805,0.0145
18841,0.013116666666666667,0.6567,0,viktor hovland,1.306,-0.0053846153846154,0.0096923076923076,0,2.90099828256635,0.14790767316017298,0.27933072705072687,0.39197552022052007,0.07500791005291006,0.013116666666666667
13872,0.014583333333333334,0.6685,1,keegan bradley,1.376,0.0175384615384615,-0.0096923076923076,0,2.85845401402931,0.1535542704055205,0.2882795948958445,0.4062383460058459,0.07609809583934574,0.01285
14139,0.013283333333333333,0.6458833333333334,0,justin thomas,1.268,-0.0053846153846154,0.0096923076923076,0,2.94979779595964,0.1440181686831687,0.27097242109742103,0.380221163604914,0.072479993987494,0.012766666666666667
17780,0.013366666666666667,0.6692,1,taylor pendrith,1.379,0.0235384615384615,-0.0096923076923076,0,2.84946980505353,0.14977843193843154,0.289401875346876,0.40646618751618696,0.07312958994708993,0.0125
13562,0.012533333333333334,0.65185,1,hideki matsuyama,1.29,0.0175384615384615,-0.0096923076923076,0,2.90449020851246,0.14395408369408377,0.27507209373959396,0.3877419868230903,0.07237612433862428,0.012416666666666666
17511,0.012716666666666666,0.6585333333333333,0,sepp straka,1.3,-0.0053846153846154,0.0096923076923076,0,2.87536411076874,0.1453937866762868,0.2772141591741595,0.3924652512302505,0.07213797619047604,0.011833333333333333
19483,0.012266666666666667,0.6483333333333333,0,sam burns,1.261,-0.0053846153846154,0.0096923076923076,0,2.89384725239446,0.13897240056240065,0.2695511372423877,0.3819350857938355,0.06929746693121686,0.011116666666666667
14636,0.011266666666666666,0.6519,0,jordan spieth,1.271,-0.0053846153846154,0.0096923076923076,0,2.86283381815889,0.1390117803030303,0.26889715793465796,0.3811821348694883,0.06804442460317459,0.010933333333333333
23323,0.012433333333333333,0.65415,1,robert macintyre,1.273,0.0055384615384615,-0.0036923076923076,0,2.84471221750778,0.13509551901801922,0.26698553525178537,0.38003368598993625,0.06512097222222218,0.01085
14578,0.01025,0.6420333333333333,0,russell henley,1.218,-0.0053846153846154,0.0096923076923076,0,2.86171660615635,0.13053370490620506,0.25894853618603675,0.3711193730343732,0.06322041666666664,0.010516666666666667
18634,0.012833333333333334,0.64465,1,maverick mcnealy,1.226,0.0115384615384615,-0.0096923076923076,0,2.90097551056775,0.13354617919117903,0.2596293446368444,0.37298867544492625,0.06494950396825395,0.010033333333333333
24968,0.011283333333333333,0.66075,1,ben griffin,1.31,0.0115384615384615,-0.0096923076923076,0,2.83260396522884,0.13658045135420124,0.270380738150738,0.38762407125281984,0.06513548280423273,0.010016666666666667
17606,0.01235,0.6433,0,daniel berger,1.222,-0.0053846153846154,0.0036923076923076,0,2.88854943423421,0.13156829725829738,0.2571670709845709,0.3704471732434227,0.06300203703703695,0.01
14796,0.0104,0.6394333333333333,0,tyrrell hatton,1.208,-0.0053846153846154,0.0096923076923076,0,2.86196036186333,0.1265227856865356,0.25130016825766793,0.36479347481222474,0.06094066137566133,0.009316666666666666
14577,0.011183333333333333,0.6356166666666667,1,harris english,1.179,0.0175384615384615,-0.0096923076923076,0,2.85782349951592,0.12167699975949978,0.2447286500999,0.3571502676027672,0.05686746693121691,0.009016666666666666
17536,0.010266666666666667,0.63135,1,j.j. spaun,1.149,0.0235384615384615,-0.0096923076923076,0,2.85113506619904,0.11866708273208279,0.23948729788729836,0.3515175429200433,0.056803856421356394,0.00855
26096,0.009616666666666667,0.6206833333333334,1,akshay bhatia,1.088,0.0055384615384615,-0.0036923076923076,0,2.86853445481848,0.11281336159211179,0.23036151015651002,0.33807123866873895,0.05151027777777775,0.008016666666666667
14735,0.010433333333333333,0.59805,0,carlos ortiz,0.969,0.0046153846153845,-0.0083076923076922,0,2.89910150058015,0.10454280219780232,0.21449544400044387,0.31605752210752125,0.04847567460317457,0.00755
11676,0.00975,0.6120666666666666,0,tony finau,1.066,-0.0053846153846154,-0.0023076923076923,0,2.86812410404205,0.1096720791245792,0.22335492831242823,0.3311141008528508,0.05032577380952375,0.0074
14609,0.01005,0.6249666666666667,1,si woo kim,1.104,0.0055384615384615,-0.0036923076923076,0,2.83735881677249,0.10948585918710908,0.22816243677618692,0.33987791199541123,0.050075767195767146,0.0068
17646,0.00925,0.5881333333333333,1,matt fitzpatrick,0.923,0.0055384615384615,-0.0036923076923076,0,2.90696806230143,0.09681001984126969,0.2017635560735561,0.3034528248603252,0.044701937830687814,0.00675
23838,0.009333333333333334,0.5761833333333334,0,rasmus hojgaard,0.875,0.0046153846153845,-0.0083076923076922,0,2.92694486652889,0.09009831228956229,0.19262742595367605,0.2904912538850035,0.04023181216931218,0.00595
13412,0.009033333333333334,0.5945166666666667,1,thorbjorn olesen,0.97,-0.0244615384615384,0.0083076923076922,0,2.85842849846683,0.0966834541847043,0.20495325341325357,0.30836927160802136,0.043021474867724833,0.005866666666666667
19870,0.008366666666666666,0.5785166666666667,0,denny mccarthy,0.89,-0.0053846153846154,0.0096923076923076,0,2.86190838097932,0.08965439731564734,0.19324039395789416,0.2924886801161798,0.03978748075998075,0.005733333333333333
27364,0.0082,0.5794,1,davis thompson,0.878,-0.0004615384615384,0.0023076923076922,0,2.85527130178625,0.08769056517556517,0.1887062957412957,0.2890826116013621,0.0384468650793651,0.005633333333333333
14502,0.0079,0.5938166666666667,0,bud cauley,0.952,-0.0053846153846154,0.0036923076923076,0,2.83389131986476,0.09410724035224023,0.2028615484052984,0.30860580633690926,0.04168222883597885,0.0056166666666666665
6430,0.0087,0.5909333333333333,1,adam scott,0.931,0.0175384615384615,-0.0096923076923076,0,2.83103294503259,0.0924793608706108,0.20068043202168173,0.30384502969253,0.040463763828763856,0.005383333333333334
17488,0.008083333333333333,0.57655,0,sungjae im,0.849,-0.0053846153846154,0.0096923076923076,0,2.86834030797025,0.08644133029008039,0.1858850391737894,0.2859598018185518,0.03706767857142856,0.00535
