PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Markham, Jackson",74.2,74.2
"Masaveu, Luis",75.3,75.3
"Matthews, Justin",71.9,71.9
"Mawhinney, Tyler",71.53,71.53
"McCarty, Matt",68.43,69.209
"McCormick, Ryan",71.53,71.53
"McCulloch, Ashton",70.42,70.42
"McDonald, Jack",74.77,74.77
"McGirt, William",71.54,71.54
"McGreevy, Max",68.59,70.19
"McIlroy, Rory",66.83,66.43
"McNealy, Maverick",69.9,69.9
"Meissner, Mac",69.93,69.93
"Merritt, Troy",70.8,70.8
"Mickelson, Phil",73.91,73.91
"Mitchell, Keith",69.74,69.601
"Molinari, Francesco",73.12,73.12
"Montojo, Jaime",75.6,75.6
"Moore, Ryan",70.46,70.46
"Moore, Taylor",70.49,69.792
"Morrison, Tommy",74.38,74.38
"Mouw, William",69.3,69.3
"Mullinax, Trey",69.1,69.1
"Musselman, Cooper",71.53,71.53
"NeSmith, Matthew",70.7,70.7
"Noh, Seung-Yul",70.99,70.99
"Nolan, Liam",75.9,75.9
"Noren, Alex",68.04,68.256
"Norgaard, Niklas",68.52,69.069
"Norlander, Henrik",70.52,70.375
"Norrman, Vincent",70.85,70.85
"Novak, Andrew",70.19,70.19
"O'Hair, Sean",71.51,71.51
"Ogletree, Andy",74.09,74.09
"Olesen, Jacob Skov",74.48,74.48
"Olesen, Thorbjorn",68.06,68.378
"Onishi, Kaito",69.67,69.67
"Pak, John",69.58,69.58
"Palmer, Ryan",70.91,70.91
"Pan, C.T.",72.78,72.78
"Paul, Jeremy",69.17,69.17
"Paul, Yannik",72.86,72.86
"Pavon, Matthieu",69.05,69.05
"Pendrith, Taylor",69.89,69.166
"Pereda, Raul",72.9,72.9
"Perez, Victor",68.69,69.787
"Peterson, Paul",69.99,69.99
"Phillips, Chandler",70.68,70.511
"Piercy, Scott",71.32,71.32
"Poston, J.T.",69.66,69.66
"Power, Seamus",70.08,69.969
"Puig, David",72.92,72.92
"Putnam, Andrew",70.18,70.228
"Ramey, Chad",70.6,70.6
"Reavie, Chez",70.7,70.7
"Riedel, Matthew",70.41,70.41
"Riley, Davis",71.13,70.481
"Rodgers, Patrick",70.02,69.542
"Rose, Justin",72.94,71.08
"Rosenmueller, Thomas",69.13,69.13
"Roy, Kevin",68.8,68.8
"Rozner, Antoine",68.92,68.92
"Ryder, Sam",70.39,70.186
"Salinda, Isaiah",68.69,68.802
"Sargent, Gordon",73.81,73.81
"Schenk, Adam",70.39,70.39
"Schmid, Matthias",70.53,70.53
"Schmid, Matti",68.38,68.344
"Scobie, Matthew",74.5,74.5
"Scott, Calum",73.97,73.97
"Sharma, Shubhankar",73.28,73.28
"Shattuck, Braden",73.4,73.4
"Shelton, Robby",70.65,70.65
"Shipley, Neal",70.91,70.91
"Siem, Marcel",73.3,73.3
"Sigg, Greyson",70.6,70.6
"Silverman, Ben",70.18,70.18
"Skinns, David",71.06,71.06
"Sloan, Roger",71.26,71.26
"Smalley, Alex",70.86,69.71
"Smotherman, Austin",71.18,71.18
"Smylie, Elvis",75.1,75.1
"Snedeker, Brandt",71.69,71.69
"Song, Younghan",73.06,73.06
"Sorenson, Jeff",73.5,73.5
"Southgate, Matthew",73.24,73.24
"Spaun, J.J.",70.25,70.25
"Springer, Hayden",70.99,70.99
"Stevens, Samuel",69.99,69.99
"Streb, Robert",71.78,71.78
"Streelman, Kevin",71.07,71.07
"Stubbs, Jasper",76.3,76.3
"Suber, Jackson",69.77,69.77
"Suh, Justin",70.97,70.97
"Svensson, Adam",69.93,70.274
"Svensson, Jesper",73.1,71.064
"Tarren, Callum",71.26,71.26
"Taylor, Ben",71.61,71.61
"Taylor, Nick",68.17,68.948
"Teater, Josh",71.87,71.87
"Theegala, Sahith",69.46,69.946
"Thomson, Hunter",70.33,70.33
"Thorbjornsen, Michael",70.84,70.84
"Thornberry, Braden",69.94,69.94
"Tosti, Alejandro",71.05,70.571
"Trainer, Martin",71.88,71.88
"Tway, Kevin",71.0,71.0
"Valimaki, Sami",72.83,72.83
"Van Rooyen, Erik",69.93,69.866
"Van Velzen, Ryan",74.11,74.11
"Vegas, Jhonattan",70.39,70.39
"Velo, Kevin",69.79,69.79
"Ventura, Kris",69.09,69.09
"Vilips, Karl",68.91,68.87
"Villegas, Camilo",70.15,70.15
"Walker, Danny",68.91,69.252
"Wallace, Matt",70.08,70.466
"Wang, Jeunghun",74.65,74.65
"Wang, Wei-Hsuan",71.22,71.22
"Warian, Ben",71.83,71.83
"Waring, Paul",70.09,70.09
"Watney, Nick",73.2,73.2
"Webster, Brett",72.9,72.9
"Weir, Mike",71.6,71.6
"Whaley, Vince",68.38,68.992
"Whitney, Tom",71.56,71.56
"Widing, Tim",69.63,69.63
"Willett, Danny",69.57,69.57
"Wise, Aaron",70.29,70.29
"Woodland, Gary",70.96,70.244
"Woods, Tiger",74.13,74.13
"Wu, Brandon",70.86,70.86
"Wu, Dylan",70.48,70.48
"Yellamaraju, Sudarshan",69.81,69.81
"Young, Cameron",68.25,68.334
"Young, Carson",70.39,70.39
"Yu, Kevin",70.2,69.987
"van der Merwe, Altin",75.6,75.6
