SITE,DATE,TIME,MARKET,PLAYER,TM,GAME,OFFICIAL LINEUP,BATTING ORDER,,,,OVER PRICE,UNDER PRICE,IMPLIED PROEJCTION,BatX Projection,,
Hard Rock,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-195),0.5 (+145),0.85,0.81,-4.03%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-200),0.5 (+145),0.85,0.81,-4.03%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-132),0.5 (+102),0.69,0.66,-3.33%,UNDER
Fanatics,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-190),0.5 (+145),0.85,0.81,-4.03%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Nick Gonzales,PIT,PIT@SEA,,4,,,,0.5 (-210),0.5 (+160),0.9,0.86,-3.41%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Matt Chapman,SF,SF@ATH,,4,,,,1.5 (+185),1.5 (-255),1.04,1.02,-2.63%,UNDER
BetMGM,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-210),0.5 (+160),0.9,0.87,-2.38%,UNDER
BetMGM,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+175),1.5 (-235),1.08,1.08,-0.28%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Rafael Devers,SF,SF@ATH,,3,,,,1.5 (+155),1.5 (-210),1.13,1.12,-1.07%,UNDER
DraftKings,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-220),0.5 (+160),0.9,0.87,-2.38%,UNDER
Fanatics,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+165),1.5 (-220),1.11,1.08,-3.01%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Andrew McCutchen,PIT,PIT@SEA,,2,,,,0.5 (-175),0.5 (+130),0.8,0.78,-1.58%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Randy Arozarena,SEA,PIT@SEA,,4,,,,0.5 (-185),0.5 (+135),0.81,0.78,-3.50%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-196),0.5 (+149),0.86,0.83,-2.95%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-208),0.5 (+158),0.88,0.87,-1.13%,UNDER
Fanatics,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-200),0.5 (+150),0.86,0.83,-3.32%,UNDER
Bovada,Jul 5,10:05 PM,Hits,Zack Gelof,ATH,SF@ATH,,8,,,,0.5 (-160),0.5 (+120),0.76,0.76,-0.24%,UNDER
Bovada,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-165),0.5 (+125),0.78,0.77,-0.84%,UNDER
BetMGM,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-190),0.5 (+145),0.85,0.81,-4.03%,UNDER
ESPN BET,Jul 5,10:10 PM,Hits,Julio Rodriguez,SEA,PIT@SEA,,2,,,,1.5 (+180),1.5 (-260),1.04,0.98,-5.29%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Matt Chapman,SF,SF@ATH,,4,,,,1.5 (+195),1.5 (-263),1.03,1.02,-1.36%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Nick Gonzales,PIT,PIT@SEA,,4,,,,0.5 (-220),0.5 (+160),0.9,0.86,-3.41%,UNDER
ESPN BET,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-135),0.5 (-100),0.69,0.66,-3.33%,UNDER
Bovada,Jul 5,10:10 PM,Hits,Andrew McCutchen,PIT,PIT@SEA,,2,,,,0.5 (-180),0.5 (+135),0.81,0.78,-3.69%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+164),1.5 (-217),1.12,1.08,-3.60%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Luke Raley,SEA,PIT@SEA,,6,,,,0.5 (-114),0.5 (-114),0.63,0.63,-0.36%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Ben Williamson,SEA,PIT@SEA,,8,,,,0.5 (-155),0.5 (+115),0.74,0.71,-4.86%,UNDER
BetMGM,Jul 5,10:10 PM,Hits,Julio Rodriguez,SEA,PIT@SEA,,2,,,,1.5 (+195),1.5 (-250),1.05,0.98,-6.83%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-210),0.5 (+160),0.9,0.87,-2.38%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-165),0.5 (+125),0.78,0.77,-0.84%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-200),0.5 (+150),0.86,0.83,-3.32%,UNDER
BetMGM,Jul 5,10:05 PM,Hits,Zack Gelof,ATH,SF@ATH,,8,,,,0.5 (-155),0.5 (+120),0.76,0.76,-0.24%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Julio Rodriguez,SEA,PIT@SEA,,2,,,,1.5 (+199),1.5 (-270),1.02,0.98,-3.78%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-185),0.5 (+142),0.84,0.73,-12.77%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Julio Rodriguez,SEA,PIT@SEA,,2,,,,1.5 (+199),1.5 (-270),1.02,0.98,-3.78%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Matt Chapman,SF,SF@ATH,,4,,,,1.5 (+195),1.5 (-263),1.03,1.02,-1.36%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-196),0.5 (+149),0.86,0.83,-2.95%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Randy Arozarena,SEA,PIT@SEA,,4,,,,0.5 (-175),0.5 (+134),0.81,0.78,-3.09%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Denzel Clarke,ATH,SF@ATH,,9,,,,0.5 (-123),0.5 (-104),0.67,0.63,-5.74%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+164),1.5 (-217),1.12,1.08,-3.60%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Ben Williamson,SEA,PIT@SEA,,8,,,,0.5 (-137),0.5 (+106),0.71,0.71,-0.41%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-196),0.5 (+148),0.86,0.81,-5.13%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-132),0.5 (+102),0.69,0.66,-3.33%,UNDER
BetBuilder,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-172),0.5 (+132),0.8,0.77,-3.89%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-159),0.5 (+122),0.77,0.66,-14.62%,UNDER
BetBuilder,Jul 5,10:10 PM,Hits,Andrew McCutchen,PIT,PIT@SEA,,2,,,,0.5 (-169),0.5 (+129),0.79,0.78,-1.15%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Dominic Canzone,SEA,PIT@SEA,,7,,,,0.5 (-135),0.5 (+105),0.71,0.66,-6.04%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-165),0.5 (+125),0.78,0.77,-0.84%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-165),0.5 (+120),0.76,0.66,-13.70%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Andrew McCutchen,PIT,PIT@SEA,,2,,,,0.5 (-175),0.5 (+130),0.8,0.78,-1.58%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,0.5 (-400),0.5 (+275),1.18,1.08,-8.63%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Ben Williamson,SEA,PIT@SEA,,8,,,,0.5 (-155),0.5 (+115),0.74,0.71,-4.86%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-195),0.5 (+145),0.85,0.81,-4.03%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-210),0.5 (+160),0.9,0.87,-2.38%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Nick Gonzales,PIT,PIT@SEA,,4,,,,0.5 (-220),0.5 (+160),0.9,0.86,-3.41%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-190),0.5 (+140),0.83,0.73,-12.07%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Julio Rodriguez,SEA,PIT@SEA,,2,,,,0.5 (-275),0.5 (+200),1,0.98,-2.11%,UNDER
Hard Rock,Jul 5,10:05 PM,Hits,Denzel Clarke,ATH,SF@ATH,,9,,,,0.5 (-120),0.5 (-110),0.65,0.63,-2.50%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-200),0.5 (+150),0.86,0.83,-3.32%,UNDER
Hard Rock,Jul 5,10:10 PM,Hits,Randy Arozarena,SEA,PIT@SEA,,4,,,,0.5 (-185),0.5 (+135),0.81,0.78,-3.50%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Jorge Polanco,SEA,PIT@SEA,,5,,,,0.5 (-172),0.5 (+140),0.83,0.66,-21.10%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Cal Raleigh,SEA,PIT@SEA,,3,,,,0.5 (-185),0.5 (+150),0.86,0.73,-15.46%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Jacob Young,WSH,BOS@WSH,,9,,,,0.5 (-182),0.5 (+145),0.85,0.72,-14.71%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Keibert Ruiz,WSH,BOS@WSH,,8,,,,0.5 (-213),0.5 (+165),0.91,0.83,-9.00%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Johan Rojas,PHI,CIN@PHI,,9,,,,0.5 (-141),0.5 (+110),0.72,0.64,-11.32%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Nate Lowe,WSH,BOS@WSH,,4,,,,0.5 (-233),0.5 (+180),0.95,0.89,-6.16%,UNDER
Bet365,Jul 5,3:07 PM,Hits,Mike Trout,LAA,LAA@TOR,,3,,,,0.5 (-200),0.5 (+160),0.9,0.84,-6.15%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Ben Williamson,SEA,PIT@SEA,,8,,,,0.5 (-152),0.5 (+120),0.76,0.71,-7.01%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Luke Raley,SEA,PIT@SEA,,6,,,,0.5 (-132),0.5 (+100),0.69,0.63,-7.84%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Andrew McCutchen,PIT,PIT@SEA,,2,,,,0.5 (-172),0.5 (+140),0.83,0.78,-5.68%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Josh Bell,WSH,BOS@WSH,,5,,,,0.5 (-227),0.5 (+175),0.94,0.89,-5.41%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Nick Gonzales,PIT,PIT@SEA,,4,,,,0.5 (-213),0.5 (+165),0.91,0.86,-5.00%,UNDER
Bet365,Jul 5,10:05 PM,Hits,Jacob Wilson,ATH,SF@ATH,,2,,,,1.5 (+155),1.5 (-192),1.19,1.08,-9.35%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Edmundo Sosa,PHI,CIN@PHI,,8,,,,0.5 (-172),0.5 (+140),0.83,0.78,-5.62%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Randy Arozarena,SEA,PIT@SEA,,4,,,,0.5 (-182),0.5 (+145),0.85,0.78,-7.38%,UNDER
Bet365,Jul 5,10:10 PM,Hits,J.P. Crawford,SEA,PIT@SEA,,1,,,,0.5 (-200),0.5 (+160),0.9,0.83,-6.74%,UNDER
Bet365,Jul 5,3:07 PM,Hits,Jo Adell,LAA,LAA@TOR,,5,,,,0.5 (-185),0.5 (+150),0.86,0.8,-7.57%,UNDER
Bet365,Jul 5,7:15 PM,Hits,Daniel Schneemann,CLE,DET@CLE,,5,,,,0.5 (-182),0.5 (+145),0.85,0.8,-5.78%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Pavin Smith,ARI,KC@ARI,,3,,,,0.5 (-192),0.5 (+155),0.88,0.8,-8.56%,UNDER
Bet365,Jul 5,3:07 PM,Hits,Zach Neto,LAA,LAA@TOR,,1,,,,0.5 (-233),0.5 (+180),0.95,0.91,-3.97%,UNDER
Bet365,Jul 5,10:05 PM,Hits,Nick Kurtz,ATH,SF@ATH,,4,,,,0.5 (-192),0.5 (+155),0.88,0.81,-7.57%,UNDER
Bet365,Jul 5,9:10 PM,Hits,Mickey Moniak,COL,CWS@COL,,5,,,,0.5 (-270),0.5 (+210),1.03,0.99,-3.39%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Brady House,WSH,BOS@WSH,,6,,,,0.5 (-213),0.5 (+165),0.91,0.87,-4.42%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Julio Rodriguez,SEA,PIT@SEA,,2,,,,1.5 (+200),1.5 (-250),1.05,0.98,-6.83%,UNDER
Bet365,Jul 5,2:20 PM,Hits,Matt Shaw,CHC,STL@CHC,,9,,,,0.5 (-227),0.5 (+175),0.94,0.91,-2.64%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Nick Castellanos,PHI,CIN@PHI,,5,,,,1.5 (+200),1.5 (-250),1.05,1.05,-0.64%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Corbin Carroll,ARI,KC@ARI,,1,,,,1.5 (+200),1.5 (-250),1.05,1.03,-2.60%,UNDER
Bet365,Jul 5,10:05 PM,Hits,Brent Rooker,ATH,SF@ATH,,3,,,,0.5 (-286),0.5 (+215),1.04,1.04,-0.15%,UNDER
Bet365,Jul 5,3:07 PM,Hits,Alejandro Kirk,TOR,LAA@TOR,,6,,,,0.5 (-270),0.5 (+210),1.03,1,-2.08%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Luis Torrens,NYM,NYY@NYM,,7,,,,0.5 (-156),0.5 (+125),0.78,0.76,-2.13%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Dane Myers,MIA,MIL@MIA,,8,,,,0.5 (-182),0.5 (+145),0.85,0.83,-2.33%,UNDER
Bet365,Jul 5,10:05 PM,Hits,Max Muncy,ATH,SF@ATH,,7,,,,0.5 (-161),0.5 (+130),0.8,0.77,-3.04%,UNDER
Bet365,Jul 5,10:05 PM,Hits,Shea Langeliers,ATH,SF@ATH,,5,,,,0.5 (-213),0.5 (+165),0.91,0.87,-3.99%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Eric Wagaman,MIA,MIL@MIA,,6,,,,0.5 (-200),0.5 (+160),0.9,0.87,-2.61%,UNDER
Bet365,Jul 5,10:10 PM,Hits,Isiah Kiner-Falefa,PIT,PIT@SEA,,9,,,,0.5 (-156),0.5 (+125),0.78,0.78,-0.32%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Kyle Stowers,MIA,MIL@MIA,,5,,,,0.5 (-182),0.5 (+145),0.85,0.84,-0.35%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Tyrone Taylor,NYM,NYY@NYM,,9,,,,0.5 (-135),0.5 (+105),0.71,0.68,-4.01%,UNDER
Bet365,Jul 5,9:10 PM,Hits,Colson Montgomery,CWS,CWS@COL,,5,,,,1.5 (+210),1.5 (-270),1.02,1.01,-0.94%,UNDER
Bet365,Jul 5,4:10 PM,Hits,Mark Vientos,NYM,NYY@NYM,,6,,,,0.5 (-167),0.5 (+135),0.81,0.78,-3.59%,UNDER
Bet365,Jul 5,4:05 PM,Hits,Rece Hinds,CIN,CIN@PHI,,8,,,,0.5 (-132),0.5 (+100),0.69,0.68,-0.18%,UNDER
Bet365,Jul 5,3:07 PM,Hits,Ernie Clement,TOR,LAA@TOR,,8,,,,0.5 (-233),0.5 (+180),0.95,0.93,-2.61%,UNDER
BetBuilder,Jul 5,9:10 PM,Hits,Ryan Noda,CWS,CWS@COL,,8,,,,0.5 (-167),0.5 (+128),0.79,0.7,-10.80%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Johan Rojas,PHI,CIN@PHI,,9,,,,0.5 (-143),0.5 (+110),0.72,0.64,-11.32%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Jacob Young,WSH,BOS@WSH,,9,,,,0.5 (-175),0.5 (+135),0.81,0.72,-11.14%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Keibert Ruiz,WSH,BOS@WSH,,8,,,,0.5 (-208),0.5 (+158),0.88,0.83,-6.29%,UNDER
BetBuilder,Jul 5,4:10 PM,Hits,Tyrone Taylor,NYM,NYY@NYM,,9,,,,0.5 (-143),0.5 (+110),0.72,0.68,-6.49%,UNDER
BetBuilder,Jul 5,9:10 PM,Hits,Colson Montgomery,CWS,CWS@COL,,5,,,,1.5 (+190),1.5 (-256),1.04,1.01,-3.14%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Josh Bell,WSH,BOS@WSH,,5,,,,0.5 (-217),0.5 (+163),0.9,0.89,-1.79%,UNDER
BetBuilder,Jul 5,2:20 PM,Hits,Matt Shaw,CHC,STL@CHC,,9,,,,0.5 (-227),0.5 (+172),0.93,0.91,-1.76%,UNDER
BetBuilder,Jul 5,4:10 PM,Hits,Mark Vientos,NYM,NYY@NYM,,6,,,,0.5 (-167),0.5 (+127),0.79,0.78,-0.15%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Rece Hinds,CIN,CIN@PHI,,8,,,,0.5 (-141),0.5 (+108),0.72,0.68,-4.51%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Edmundo Sosa,PHI,CIN@PHI,,8,,,,0.5 (-172),0.5 (+131),0.8,0.78,-1.95%,UNDER
BetBuilder,Jul 5,7:15 PM,Hits,Daniel Schneemann,CLE,DET@CLE,,5,,,,0.5 (-182),0.5 (+138),0.82,0.8,-3.07%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,George Springer,TOR,LAA@TOR,,2,,,,1.5 (+171),1.5 (-227),1.1,1.06,-3.56%,UNDER
BetBuilder,Jul 5,4:10 PM,Hits,Corbin Carroll,ARI,KC@ARI,,1,,,,1.5 (+178),1.5 (-238),1.07,1.03,-4.58%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Ceddanne Rafaela,BOS,BOS@WSH,,9,,,,0.5 (-222),0.5 (+168),0.92,0.92,-0.05%,UNDER
BetBuilder,Jul 5,4:10 PM,Hits,Pavin Smith,ARI,KC@ARI,,3,,,,0.5 (-189),0.5 (+144),0.84,0.8,-4.68%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,Ernie Clement,TOR,LAA@TOR,,8,,,,0.5 (-233),0.5 (+176),0.94,0.93,-1.50%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,Logan O'Hoppe,LAA,LAA@TOR,,7,,,,0.5 (-164),0.5 (+126),0.78,0.78,-0.68%,UNDER
BetBuilder,Jul 5,9:10 PM,Hits,Mickey Moniak,COL,CWS@COL,,5,,,,1.5 (+186),1.5 (-250),1.05,0.99,-5.92%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,Nathan Lukes,TOR,LAA@TOR,,1,,,,1.5 (+178),1.5 (-238),1.07,1.06,-1.06%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,Chad Stevens,LAA,LAA@TOR,,9,,,,0.5 (-123),0.5 (-104),0.67,0.66,-1.97%,UNDER
BetBuilder,Jul 5,4:10 PM,Hits,Josh Naylor,ARI,KC@ARI,,4,,,,1.5 (+195),1.5 (-263),1.03,0.98,-4.48%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,George Springer,TOR,LAA@TOR,,2,,,,1.5 (+171),1.5 (-227),1.1,1.06,-3.56%,UNDER
BetBuilder,Jul 5,4:10 PM,Hits,Mark Vientos,NYM,NYY@NYM,,6,,,,0.5 (-167),0.5 (+127),0.79,0.78,-0.15%,UNDER
BetBuilder,Jul 5,3:07 PM,Hits,Nathan Lukes,TOR,LAA@TOR,,1,,,,1.5 (+178),1.5 (-238),1.07,1.06,-1.06%,UNDER
BetBuilder,Jul 5,4:05 PM,Hits,Josh Bell,WSH,BOS@WSH,,5,,,,0.5 (-217),0.5 (+163),0.9,0.89,-1.79%,UNDER
