name_p1,name_p2,fair_prob_p1,fair_prob_p2,fair_odds_p1,fair_odds_p2,betonline_p1,betonline_ev_p1,betcris_p1,betcris_ev_p1,pinnacle_p1,pinnacle_ev_p1,draftkings_p1,draftkings_ev_p1,bet365_p1,bet365_ev_p1,fanduel_p1,fanduel_ev_p1,betmgm_p1,betmgm_ev_p1,pointsbet_p1,pointsbet_ev_p1,bovada_p1,bovada_ev_p1,caesars_p1,caesars_ev_p1,unibet_p1,unibet_ev_p1
"English, Harris","Rai, Aaron",0.4599,0.5401,117,-117,,,,,,,,,,,,,,,,,,,+100,0.3797,,
"Harman, Brian","Spaun, J.J.",0.4412,0.5588,127,-127,,,,,,,,,,,,,,,,,,,-115,0.2662,,
"Hughes, Mackenzie","Mitchell, Keith",0.5106,0.4894,-104,104,,,,,,,,,,,,,,,,,,,+100,0.5317,,
"MacIntyre, Robert","Hall, Harry",0.4987,0.5013,101,-101,,,,,,,,,,,,,,,,,,,-140,0.3537,,
"Fowler, Rickie","Hoge, Tom",0.3832,0.6168,161,-161,,,,,,,,,,,,,,,,,,,-105,0.1313,,
"Fleetwood, Tommy","Berger, Daniel",0.4342,0.5658,130,-130,,,,,,,,,,,,,-111,0.2596,,,,,-120,0.2303,,
"Bhatia, Akshay","Thompson, Davis",0.5331,0.4669,-114,114,,,,,,,,,,,,,,,,,,,-110,0.551,,
"Kim, Si Woo","Riley, Davis",0.6136,0.3864,-159,159,,,,,,,,,,,,,,,,,,,-165,0.599,,
"Matsuyama, Hideki","Spieth, Jordan",0.4483,0.5517,123,-123,,,,,,,,,,,,,-105,0.3235,,,,,-130,0.2414,,
"MacIntyre, Robert","Griffin, Ben",0.4707,0.5293,112,-112,,,,,,,,,,,,,-111,0.3655,,,,,,,,
"Mitchell, Keith","Spaun, J.J.",0.4935,0.5065,103,-103,,,,,,,,,,,,,-105,0.457,,,,,,,,
"Hughes, Mackenzie","Novak, Andrew",0.5169,0.4831,-107,107,,,,,,,,,,,,,+100,0.5507,,,,,,,,
